author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total
Anonymous,not_applicable,Anonymous,not_applicable,not_applicable,not_applicable,27862,0.29158992
England and Wales. Parliament.,England and Wales,Parliament,not_applicable,not_applicable,not_applicable,1119,0.011710901
England and Wales. Sovereign (1625-1649 : Charles I),Sovereign,Charles I,not_applicable,1625,1649,1017,0.010643419
England and Wales.,not_applicable,England and Wales,not_applicable,not_applicable,not_applicable,940,0.009837575
Church of England.,not_applicable,Church of England,not_applicable,not_applicable,not_applicable,902,0.009439886
England and Wales. Sovereign (1660-1685 : Charles II),Sovereign,Charles II,not_applicable,1660,1685,683,0.00714794
Scotland. Privy Council.,Scotland,Privy Council,not_applicable,not_applicable,not_applicable,548,0.005735097
England and Wales. Sovereign (1603-1625 : James I),Sovereign,James I,not_applicable,1603,1625,470,0.004918788
England and Wales. Sovereign (1558-1603 : Elizabeth I),Sovereign,Elizabeth I,not_applicable,1558,1603,429,0.004489702
"Sternhold, Thomas, d. 1549.",Sternhold,Thomas,not_applicable,not_applicable,1549,403,0.004217599
England and Wales. Parliament. House of Commons.,England and Wales,Parliament House of Commons,not_applicable,not_applicable,not_applicable,282,0.002951273
"Baxter, Richard, 1615-1691.",Baxter,Richard,not_applicable,1615,1691,270,0.002825687
"Fox, George, 1624-1691.",Fox,George,not_applicable,1624,1691,251,0.002626842
"Burnet, Gilbert, 1643-1715.",Burnet,Gilbert,not_applicable,1643,1715,214,0.002239618
"Dryden, John, 1631-1700.",Dryden,John,not_applicable,1631,1700,191,0.001998912
"Taylor, John, 1580-1653.",Taylor,John,not_applicable,1580,1653,188,0.001967515
"Hall, Joseph, 1574-1656.",Hall,Joseph,not_applicable,1574,1656,187,0.00195705
"Penn, William, 1644-1718.",Penn,William,not_applicable,1644,1718,186,0.001946584
"Perkins, William, 1558-1602.",Perkins,William,not_applicable,1558,1602,186,0.001946584
England and Wales. Sovereign (1689-1694 : William and Mary),Sovereign,William and Mary,not_applicable,1689,1694,181,0.001894257
"Prynne, William, 1600-1669.",Prynne,William,not_applicable,1600,1669,165,0.001726808
England and Wales. Sovereign (1685-1688 : James II),Sovereign,James II,not_applicable,1685,1688,162,0.001695412
"L'Estrange, Roger, Sir, 1616-1704.",L'Estrange,Roger,not_applicable,1616,1704,161,0.001684946
"Smith, Henry, 1550-1591.",Smith,Henry,not_applicable,1550,1591,152,0.001590757
"Patrick, Simon, 1626-1707.",Patrick,Simon,not_applicable,1626,1707,151,0.001580291
"Allestree, Richard, 1619-1681.",Allestree,Richard,not_applicable,1619,1681,142,0.001486102
"Taylor, Jeremy, 1613-1667.",Taylor,Jeremy,not_applicable,1613,1667,141,0.001475636
"Bacon, Francis, 1561-1626.",Bacon,Francis,not_applicable,1561,1626,123,0.001287257
"Markham, Gervase, 1568-1637.",Markham,Gervase,not_applicable,1568,1637,122,0.001276792
England.,not_applicable,England,not_applicable,not_applicable,not_applicable,119,0.001245395
"Sherlock, William, 1641-1707.",Sherlock,William,not_applicable,1641,1707,117,0.001224464
"Bunyan, John, 1628-1688.",Bunyan,John,not_applicable,1628,1688,116,0.001213999
"Stillingfleet, Edward, 1635-1699.",Stillingfleet,Edward,not_applicable,1635,1699,114,0.001193068
"Shakespeare, William, 1564-1616.",Shakespeare,William,not_applicable,1564,1616,111,0.001161671
"Boyle, Robert, 1627-1691.",Boyle,Robert,not_applicable,1627,1691,110,0.001151206
"Tillotson, John, 1630-1694.",Tillotson,John,not_applicable,1630,1694,109,0.00114074
"Wither, George, 1588-1667.",Wither,George,not_applicable,1588,1667,106,0.001109344
"Greene, Robert, 1558-1592.",Greene,Robert,not_applicable,1558,1592,104,0.001088413
Scotland.,not_applicable,Scotland,not_applicable,not_applicable,not_applicable,103,0.001077947
Ireland. Lords Justices and Council.,Ireland,Lords Justices and Council,not_applicable,not_applicable,not_applicable,103,0.001077947
"Breton, Nicholas, 1545-1626",Breton,Nicholas,not_applicable,1545,1626,99,0.001036085
"Quarles, Francis, 1592-1644.",Quarles,Francis,not_applicable,1592,1644,97,0.001015154
"Calvin, Jean, 1509-1564.",Calvin,Jean,not_applicable,1509,1564,93,0.000973292
"Preston, John, 1587-1628.",Preston,John,not_applicable,1587,1628,93,0.000973292
M. P. d. 1656,P,M,not_applicable,not_applicable,1656,93,0.000973292
"Dent, Arthur, d. 1607.",Dent,Arthur,not_applicable,not_applicable,1607,91,0.000952361
"D'Urfey, Thomas, 1653-1723.",D'Urfey,Thomas,not_applicable,1653,1723,91,0.000952361
"Mather, Cotton, 1663-1728.",Mather,Cotton,not_applicable,1663,1728,91,0.000952361
"Heywood, Thomas, d. 1641.",Heywood,Thomas,not_applicable,not_applicable,1641,90,0.000941896
"Erasmus, Desiderius, d. 1536.",Erasmus,Desiderius,not_applicable,not_applicable,1536,89,0.00093143
"Hammond, Henry, 1605-1660.",Hammond,Henry,not_applicable,1605,1660,86,0.000900033
"Speed, John, 1552-1629.",Speed,John,not_applicable,1552,1629,85,0.000889568
Scotland. Parliament.,Scotland,Parliament,not_applicable,not_applicable,not_applicable,85,0.000889568
"Dering, Edward, 1540-1576.",Dering,Edward,not_applicable,1540,1576,84,0.000879102
"Lily, William, 1468-1522.",Lily,William,not_applicable,1468,1522,83,0.000868637
England and Wales. Sovereign (1694-1702 : William III),Sovereign,William III,not_applicable,1694,1702,82,0.000858171
"Heylyn, Peter, 1600-1662.",Heylyn,Peter,not_applicable,1600,1662,81,0.000847706
"Hieron, Samuel, 1576-1617.",Hieron,Samuel,not_applicable,1576,1617,81,0.000847706
England and Wales. Lord Protector (1653-1658 : O. Cromwell),Lord Protector,Oliver Cromwell,not_applicable,1653,1658,79,0.000826775
"Keith, George, 1639-1716.",Keith,George,not_applicable,1639,1716,78,0.000816309
"Becon, Thomas, 1512-1567.",Becon,Thomas,not_applicable,1512,1567,76,0.000795378
"Whitehead, George, 1636-1723.",Whitehead,George,not_applicable,1636,1723,75,0.000784913
City of London (England). Court of Common Council.,City of London (England),Court of Common Council,not_applicable,not_applicable,not_applicable,74,0.000774447
"William III, King of England, 1650-1702.",King of England,William III,not_applicable,1650,1702,73,0.000763982
"Dekker, Thomas,1572-1632.",Dekker,Thomas,not_applicable,1572,1632,71,0.000743051
England and Wales. Privy Council.,England and Wales,Privy Council,not_applicable,not_applicable,not_applicable,70,0.000732585
"Behn, Aphra, 1640-1689.",Behn,Aphra,not_applicable,1640,1689,69,0.00072212
"Broughton, Hugh, 1549-1612.",Broughton,Hugh,not_applicable,1549,1612,69,0.00072212
