author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total,dataset
Anonymous,not_applicable,Anonymous,not_applicable,not_applicable,not_applicable,27862,0.29158992,eebo
England and Wales. Parliament.,England and Wales,Parliament,not_applicable,not_applicable,not_applicable,1119,0.011710901,eebo
England and Wales. Sovereign (1625-1649 : Charles I),Sovereign,Charles I,not_applicable,1625,1649,1017,0.010643419,eebo
England and Wales.,not_applicable,England and Wales,not_applicable,not_applicable,not_applicable,940,0.009837575,eebo
Church of England.,not_applicable,Church of England,not_applicable,not_applicable,not_applicable,902,0.009439886,eebo
England and Wales. Sovereign (1660-1685 : Charles II),Sovereign,Charles II,not_applicable,1660,1685,683,0.00714794,eebo
Scotland. Privy Council.,Scotland,Privy Council,not_applicable,not_applicable,not_applicable,548,0.005735097,eebo
England and Wales. Sovereign (1603-1625 : James I),Sovereign,James I,not_applicable,1603,1625,470,0.004918788,eebo
England and Wales. Sovereign (1558-1603 : Elizabeth I),Sovereign,Elizabeth I,not_applicable,1558,1603,429,0.004489702,eebo
"Sternhold, Thomas, d. 1549.",Sternhold,Thomas,not_applicable,not_applicable,1549,403,0.004217599,eebo
England and Wales. Parliament. House of Commons.,England and Wales,Parliament House of Commons,not_applicable,not_applicable,not_applicable,282,0.002951273,eebo
"Baxter, Richard, 1615-1691.",Baxter,Richard,not_applicable,1615,1691,270,0.002825687,eebo
"Fox, George, 1624-1691.",Fox,George,not_applicable,1624,1691,251,0.002626842,eebo
"Burnet, Gilbert, 1643-1715.",Burnet,Gilbert,not_applicable,1643,1715,214,0.002239618,eebo
"Dryden, John, 1631-1700.",Dryden,John,not_applicable,1631,1700,191,0.001998912,eebo
"Taylor, John, 1580-1653.",Taylor,John,not_applicable,1580,1653,188,0.001967515,eebo
"Hall, Joseph, 1574-1656.",Hall,Joseph,not_applicable,1574,1656,187,0.00195705,eebo
"Penn, William, 1644-1718.",Penn,William,not_applicable,1644,1718,186,0.001946584,eebo
"Perkins, William, 1558-1602.",Perkins,William,not_applicable,1558,1602,186,0.001946584,eebo
England and Wales. Sovereign (1689-1694 : William and Mary),Sovereign,William and Mary,not_applicable,1689,1694,181,0.001894257,eebo
"Prynne, William, 1600-1669.",Prynne,William,not_applicable,1600,1669,165,0.001726808,eebo
England and Wales. Sovereign (1685-1688 : James II),Sovereign,James II,not_applicable,1685,1688,162,0.001695412,eebo
"L'Estrange, Roger, Sir, 1616-1704.",L'Estrange,Roger,not_applicable,1616,1704,161,0.001684946,eebo
"Smith, Henry, 1550-1591.",Smith,Henry,not_applicable,1550,1591,152,0.001590757,eebo
"Patrick, Simon, 1626-1707.",Patrick,Simon,not_applicable,1626,1707,151,0.001580291,eebo
"Allestree, Richard, 1619-1681.",Allestree,Richard,not_applicable,1619,1681,142,0.001486102,eebo
"Taylor, Jeremy, 1613-1667.",Taylor,Jeremy,not_applicable,1613,1667,141,0.001475636,eebo
"Bacon, Francis, 1561-1626.",Bacon,Francis,not_applicable,1561,1626,123,0.001287257,eebo
"Markham, Gervase, 1568-1637.",Markham,Gervase,not_applicable,1568,1637,122,0.001276792,eebo
England.,not_applicable,England,not_applicable,not_applicable,not_applicable,119,0.001245395,eebo
"Sherlock, William, 1641-1707.",Sherlock,William,not_applicable,1641,1707,117,0.001224464,eebo
