author_name,title_counts
Anonymous?,39
"Lydgate, John, 1370?-1451??",16
"Mirk, John, fl. 1403??",11
"Chaucer, Geoffrey, d. 1400.?",9
"Alcock, John, 1430-1500.?",8
"Higden, Ranulf, d. 1364.?",6
England.?,5
"Jacobus, de Voragine, ca. 1229-1298.?",4
"Lefävre, Raoul, fl. 1460.?",4
"Legrand, Jacques, ca. 1365-1415.?",4
Aesop.?,3
Catholic Church.?,3
Terence.?,3
"Bartholomaeus, Anglicus, 13th cent.?",2
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.?",2
"Berners, Juliana, b. 1388??",2
"Christine, de Pisan, ca. 1364-ca. 1431.?",2
"Cicero, Marcus Tullius.?",2
"Guillaume, de Deguileville, 14th cent.?",2
"Joannes, of Hildesheim, d. 1375.?",2
"Malory, Thomas, Sir, 15th cent.?",2
"Mandeville, John, Sir.?",2
"Pierre, de la CÇpäde, 15th cent.?",2
"Raymond, of Capua, 1330-1399.?",2
"Betson, Thomas.?",1
"Boccaccio, Giovanni, 1313-1375.?",1
"Boethius, d. 524.?",1
"Caoursin, Guillaume, d. 1501.?",1
Catholic Church. Pope (1484-1492 : Innocent VIII)?,1
Catholic Church. Pope (1492-1503 : Alexander VI)?,1
"Caxton, William, ca. 1422-1491.?",1
"Chartier, Alain, 15th cent.?",1
England and Wales.?,1
England and Wales. Sovereign (1509-1547 : Henry VIII)?,1
England. Sovereign (1485-1509 : Henry VII)?,1
"Fitzjames, Richard, d. 1522.?",1
"Giles, of Rome, Archbishop of Bourges, ca. 1243-1316.?",1
"Gower, John, 1325?-1408.?",1
"Guido, of Alet.?",1
"Hilton, Walter, d. 1396.?",1
"Jacobus, de Cassolis, fl. 1288-1322.?",1
"Jacobus, de Cessolis, fl. 1288-1322?",1
"Joannes Jacobi, -1384.?",1
"John, of Garland, approximately 1195-approximately 1272.?",1
"La Tour Landry, Geoffroy de, 14th cent.?",1
"Laurent, Dominican, fl. 1279.?",1
"Lichfield, William, d. 1448.?",1
"Llull, Ramon, 1232?-1316.?",1
"Monastery of the Holy Cross (Crutched Friars) (London, England)?",1
"Moulton, Thomas, fl. 1540??",1
"Peter, of Blois, ca. 1135-ca. 1212.?",1
"Robert, Prior of Shrewsbury, d. 1167.?",1
"Roye, Gui de, ca. 1345-1409.?",1
"Skelton, John, 1460?-1529.?",1
"Thomas, von Erfurt, 14th cent.?",1
"Winter, Simon, d. 1448.?",1
Anonymous?,164
"Stanbridge, John, 1463-1510.?",11
"Fisher, John, Saint, 1469-1535.?",8
"Hawes, Stephen, d. 1523??",8
"Lydgate, John, 1370?-1451??",8
England.?,7
"Gringore, Pierre, ca. 1475-1538??",7
England and Wales.?,5
"Dunbar, William, 1460?-1520??",4
England and Wales. Sovereign (1509-1547 : Henry VIII)?,4
"Holte, John, grammarian.?",4
"Jacobus, de Voragine, ca. 1229-1298.?",4
"Bernardino, da Siena, Saint, 1380-1444.?",3
England and Wales. Commissioners of Subsidy.?,3
"Alcock, John, 1430-1500.?",2
"Brant, Sebastian, 1458-1521.?",2
Catholic Church.?,2
Catholic Church. Pope (1503-1513 : Julius II)?,2
England and Wales. Sovereign (1485-1509 : Henry VII).?,2
England. Sovereign (1509-1547 : Henry VIII)?,2
"Joannes, of Hildesheim, d. 1375.?",2
"La Sale, Antoine de, b. 1388??",2
"Laurent, Dominican, fl. 1279.?",2
"Lefävre, Raoul, fl. 1460.?",2
"Mandeville, John, Sir.?",2
"Mirk, John, fl. 1403??",2
"Pierre, de la CÇpäde, 15th cent.?",2
"Skelton, John, 1460?-1529.?",2
Aesop.?,1
"Arnold, Richard, d. 1521??",1
Catholic Church. Pope (1389-1404 : Boniface IX)?,1
"Donatus, Aelius.?",1
England. King's Household.?,1
England. Sovereign (1485-1509 : Henry VII)?,1
"Guild of Our Lady of Scala Coeli (Boston, Lincolnshire, England)?",1
"Henley, Walter de.?",1
"Henry, the Minstrel, fl. 1470-1492.?",1
"Hilton, Walter, d. 1396.?",1
"Honorius, of Autun, ca. 1080-ca. 1156.?",1
"Hospital of St. Katherine (Lincoln, England)?",1
"Jacobus, de Gruytrode, d. 1472?.?",1
"Jean, d'Arras, 14th cent.?",1
"Julius II, Pope, 1443-1513.?",1
"Kempe, Margery, b. ca. 1373.?",1
"Legrand, Jacques, ca. 1365-1415.?",1
"Medwall, Henry, fl. 1486.?",1
"Melton, William de, d. 1528.?",1
Orden de Santiago.?,1
"Ovid, 43 B.C.-17 or 18 A.D.?",1
"Pico della Mirandola, Giovanni Francesco, 1470-1533.?",1
"Pius II, Pope, 1404-1464.?",1
"Simon, anchorite of London Wall.?",1
"St. Thomas's Hospital (London, England)?",1
"Stanbridge, John, 1463-1538.?",1
"Steinhîwel, Heinrich, 1412-1482??",1
"Ursula, Saint.?",1
"Walsingham, Thomas, fl. 1360-1420.?",1
"Whittington, Robert, d. ca. 1560.?",1
Anonymous?,86
"Stanbridge, John, 1463-1510.?",14
Catholic Church. Pope (1513-1521 : Leo X)?,7
"Fisher, John, Saint, 1469-1535.?",7
England and Wales.?,6
England.?,6
"Chaucer, Geoffrey, d. 1400.?",5
"Froissart, Jean, 1338?-1410??",5
"Laet, Jaspar, fl. 1492-1530.?",5
"Peckham, John, d. 1292.?",5
"Skelton, John, 1460?-1529.?",5
"Barclay, Alexander, 1475?-1552.?",4
"Brunschwig, Hieronymus, ca. 1450-ca. 1512.?",4
"Erasmus, Desiderius, d. 1536.?",4
"Henry VIII, King of England, 1491-1547.?",4
"Jacobus, de Gruytrode, d. 1472?.?",4
"Lydgate, John, 1370?-1451??",4
"Mancinus, Dominicus, fl. 1478-1491.?",4
"Rastell, John, d. 1536.?",4
"Augustine, Saint, Bishop of Hippo.?",3
"Bonde, William, fl. 1526-27.?",3
"Bradshaw, Henry, d. 1513.?",3
Catholic Church.?,3
"Edmund, of Abingdon, Saint, Archbishop of Canterbury, ca. 1170-1240.?",3
England. Sovereign (1509-1547 : Henry VIII)?,3
"Fitzherbert, John, d. 1531.?",3
"Jacobus, de Voragine, ca. 1229-1298.?",3
"Mirk, John, fl. 1403??",3
"Sallust, 86-34 B.C.?",3
"Tyndale, William, d. 1536.?",3
"Boccaccio, Giovanni, 1313-1375.?",2
"Christine, de Pisan, ca. 1364-ca. 1431.?",2
"Harrington, William, d. 1523.?",2
"Higden, Ranulf, d. 1364.?",2
"Hospital of the Holy Ghost (Rome, Italy)?",2
"Lily, William, 1468?-1522.?",2
"Mubashshir ibn F?tik, Ab? al-Waf??, 11th cent.?",2
"Peter, of Luxemburg, Saint, 1369-1387.?",2
"(Westminster, Confraternity of St. Cornelius)?",1
"Alexis, Guillaume, d. 1468??",1
"Alsoppe, Thomas.?",1
Aristotle.?,1
"Arnold, Richard, d. 1521??",1
"Benedict, Saint, Abbot of Monte Cassino.?",1
"Bernard, of Clairvaux, Saint, 1090 or 91-1153.?",1
"Bernardino, da Siena, Saint, 1380-1444.?",1
"Berners, Juliana, b. 1388??",1
"Brant, Sebastian, 1458-1521.?",1
"Bush, Paul, 1490-1558.?",1
Catholic Church. Pope (1389-1404 : Boniface IX)?,1
"Clere-Ville, BartholomÇ de.?",1
"Confraternity of St. John (Beverley, England)?",1
"Constable, John, epigrammatist.?",1
"Copland, Robert, fl. 1508-1547.?",1
England and Wales. Sovereign (1509-1547 : Henry VIII)?,1
"Fabyan, Robert, d. 1513.?",1
"Feylde, Thomas.?",1
"Franciscan Convent (Ipswich, England)?",1
"Goodwin, Christopher.?",1
"Hayton, Fräre, ca. 1235-ca. 1314.?",1
"Hendred, William, 1470-1520.?",1
Hereford Cathedral. Porch and Chantry Chapel.?,1
"Hilton, Walter, d. 1396.?",1
"Honorius, of Autun, ca. 1080-ca. 1156.?",1
"Joannes, de Mediolano.?",1
"John, of Garland, ca. 1195-ca. 1272.?",1
"Laet, Jaspar, active 1530-1544.?",1
"Laet, Jaspar.?",1
"Legrand, Jacques, ca. 1365-1415.?",1
"Leigh, Valentine, fl. 1562.?",1
"Littleton, Thomas, Sir, d. 1481.?",1
"More, Thomas, Sir, Saint, 1478-1535.?",1
"Pace, Richard, 1482?-1536.?",1
"Pico della Mirandola, Giovanni Francesco, 1470-1533.?",1
Plutarch.?,1
"Raymond, of Capua, 1330-1399.?",1
"Richard, of St. Victor, d. 1173.?",1
"Ryckes, John.?",1
"Sargy, J.?",1
"Simon, anchorite of London Wall.?",1
"St. Thomas's Hospital (London, England)?",1
Terence.?,1
"Valence, P.?",1
"Velthoven, Adrian.?",1
Anonymous?,420
England and Wales.?,149
Church of England.?,138
England.?,83
"Erasmus, Desiderius, d. 1536.?",79
England and Wales. Sovereign (1547-1553 : Edward VI)?,52
England and Wales. Sovereign (1509-1547 : Henry VIII)?,49
England and Wales. Sovereign (1553-1558 : Mary I)?,44
"Becon, Thomas, 1512-1567.?",40
Catholic Church.?,40
"Elyot, Thomas, Sir, 1490?-1546.?",40
England and Wales. Sovereign (1558-1603 : Elizabeth I)?,33
"Tyndale, William, d. 1536.?",30
"Bale, John, 1495-1563.?",28
"Bullinger, Heinrich, 1504-1575.?",24
"Hooper, John, d. 1555.?",22
"Latimer, Hugh, 1485?-1555.?",22
"Saint German, Christopher, 1460?-1540.?",22
"Bonner, Edmund, 1500?-1569.?",21
"Skelton, John, 1460?-1529.?",21
"Calvin, Jean, 1509-1564.?",20
"Fitzherbert, John, d. 1531.?",20
"Fitzherbert, Anthony, Sir, 1470-1538.?",17
"Heywood, John, 1497?-1580??",17
"Littleton, Thomas, Sir, d. 1481.?",17
"Stanbridge, John, 1463-1510.?",17
"Askham, Anthony, fl. 1553.?",16
"More, Thomas, Sir, Saint, 1478-1535.?",16
"Savonarola, Girolamo, 1452-1498.?",16
"Joye, George, d. 1553.?",15
"Frith, John, 1503-1533.?",14
"Gardiner, Stephen, 1483?-1555.?",14
"Guevara, Antonio de, Bp., d. 1545??",14
"Moulton, Thomas.?",14
"Whitford, Richard, fl. 1495-1555??",14
"Catharine Parr, Queen, consort of Henry VIII, King of England, 1512-1548.?",13
