author_name,title_counts
"(Westminster, Confraternity of St. Cornelius)?",1
A. B.?,11
"Abbot, George, 1562-1633.?",11
"Abbot, Robert, 1560-1618.?",12
"Adams, Thomas, fl. 1612-1653.?",24
Aesop.?,3
Aesop.?,1
"Ainsworth, Henry, 1571-1622??",12
"Ainsworth, Henry, 1571-1622??",17
"Ainsworth, Henry, 1571-1622??",16
"Albemarle, George Monck, Duke of, 1608-1670.?",30
"Alcock, John, 1430-1500.?",8
"Alcock, John, 1430-1500.?",2
"Alexis, Guillaume, d. 1468??",1
"Allen, William, 1532-1594.?",7
"Allestree, Richard, 1619-1681.?",13
"Allestree, Richard, 1619-1681.?",33
"Allestree, Richard, 1619-1681.?",45
"Allestree, Richard, 1619-1681.?",20
"Allestree, Richard, 1619-1681.?",10
"Allestree, Richard, 1619-1681.?",21
"Allestree, Richard, fl. 1617-1643.?",12
"Allix, Pierre, 1641-1717.?",10
"Alsoppe, Thomas.?",1
"Ames, Richard, d. 1693.?",13
"Ames, Richard, d. 1693.?",15
"Ames, William, 1576-1633.?",10
"Andrewes, John, fl. 1615.?",10
"Andrewes, Lancelot, 1555-1626.?",19
"Andrewes, Lancelot, 1555-1626.?",14
"Andrewes, Lancelot, 1555-1626.?",11
"Andrews, William, ca. 1635-1713.?",14
Anonymous?,39
Anonymous?,164
Anonymous?,86
Anonymous?,420
Anonymous?,236
Anonymous?,186
Anonymous?,422
Anonymous?,505
Anonymous?,1616
Anonymous?,4525
Anonymous?,2265
Anonymous?,2246
Anonymous?,1780
Anonymous?,2670
Anonymous?,3191
Anonymous?,3287
Anonymous?,2477
Anonymous?,1747
Aristotle.?,1
"Arnold, Richard, d. 1521??",1
"Arnold, Richard, d. 1521??",1
"Ascham, Roger, 1515-1568.?",8
"Askew, Anne, 1521-1546.?",5
"Askham, Anthony, fl. 1553.?",16
"Augustine, Saint, Bishop of Hippo.?",3
"Awdelay, John, fl. 1559-1577.?",6
B. G.?,6
"Bîhme, Jakob, 1575-1624.?",18
"Bîhme, Jakob, 1575-1624.?",15
"Babington, Gervase, 1550-1610.?",10
"Bacon, Francis, 1561-1626.?",19
"Bacon, Francis, 1561-1626.?",17
"Bacon, Francis, 1561-1626.?",20
"Bacon, Francis, 1561-1626.?",27
"Bacon, Francis, 1561-1626.?",13
"Bacon, Francis, 1561-1626.?",17
"Bacon, Francis, 1561-1626.?",10
"Bagshaw, Edward, 1629-1671.?",20
"Baker, Richard, Sir, 1568-1645.?",10
"Baldwin, William, ca. 1518-1563??",7
"Baldwin, William, ca. 1518-1563??",6
"Bale, John, 1495-1563.?",28
"Baley, Walter, 1529-1592.?",6
"Ball, John, 1585-1640.?",12
"Ball, John, 1585-1640.?",13
"Bancroft, Richard, 1544-1610.?",6
"Barclay, Alexander, 1475?-1552.?",4
"Barclay, Robert, 1648-1690.?",11
"Barlow, William, d. 1613.?",16
"Barrow, Henry, 1550?-1593.?",7
"Barrow, Isaac, 1630-1677.?",10
"Barrow, Isaac, 1630-1677.?",10
"Bartholomaeus, Anglicus, 13th cent.?",2
"Bates, William, 1625-1699.?",10
"Bates, William, 1625-1699.?",10
