author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total
Anonymous,,Anonymous,,,,27862,0.29158992
England and Wales. Parliament.,England and Wales,Parliament,,,,1119,0.011710901
England and Wales. Sovereign (1625-1649 : Charles I),Sovereign,Charles I,,1625,1649,1017,0.010643419
England and Wales.,,England and Wales,,,,940,0.009837575
Church of England.,,Church of England,,,,902,0.009439886
England and Wales. Sovereign (1660-1685 : Charles II),Sovereign,Charles II,,1660,1685,683,0.00714794
Scotland. Privy Council.,Scotland,Privy Council,,,,548,0.005735097
England and Wales. Sovereign (1603-1625 : James I),Sovereign,James I,,1603,1625,470,0.004918788
England and Wales. Sovereign (1558-1603 : Elizabeth I),Sovereign,Elizabeth I,,1558,1603,429,0.004489702
"Sternhold, Thomas, d. 1549.",Sternhold,Thomas,,,1549,403,0.004217599
England and Wales. Parliament. House of Commons.,England and Wales,Parliament House of Commons,,,,282,0.002951273
"Baxter, Richard, 1615-1691.",Baxter,Richard,,1615,1691,270,0.002825687
"Fox, George, 1624-1691.",Fox,George,,1624,1691,251,0.002626842
"Burnet, Gilbert, 1643-1715.",Burnet,Gilbert,,1643,1715,214,0.002239618
"Dryden, John, 1631-1700.",Dryden,John,,1631,1700,191,0.001998912
"Taylor, John, 1580-1653.",Taylor,John,,1580,1653,188,0.001967515
"Hall, Joseph, 1574-1656.",Hall,Joseph,,1574,1656,187,0.00195705
"Penn, William, 1644-1718.",Penn,William,,1644,1718,186,0.001946584
"Perkins, William, 1558-1602.",Perkins,William,,1558,1602,186,0.001946584
England and Wales. Sovereign (1689-1694 : William and Mary),Sovereign,William and Mary,,1689,1694,181,0.001894257
"Prynne, William, 1600-1669.",Prynne,William,,1600,1669,165,0.001726808
England and Wales. Sovereign (1685-1688 : James II),Sovereign,James II,,1685,1688,162,0.001695412
"L'Estrange, Roger, Sir, 1616-1704.",L'Estrange,Roger,,1616,1704,161,0.001684946
"Smith, Henry, 1550-1591.",Smith,Henry,,1550,1591,152,0.001590757
"Patrick, Simon, 1626-1707.",Patrick,Simon,,1626,1707,151,0.001580291
"Allestree, Richard, 1619-1681.",Allestree,Richard,,1619,1681,142,0.001486102
"Taylor, Jeremy, 1613-1667.",Taylor,Jeremy,,1613,1667,141,0.001475636
"Bacon, Francis, 1561-1626.",Bacon,Francis,,1561,1626,123,0.001287257
"Markham, Gervase, 1568-1637.",Markham,Gervase,,1568,1637,122,0.001276792
England.,,England,,,,119,0.001245395
"Sherlock, William, 1641-1707.",Sherlock,William,,1641,1707,117,0.001224464
"Bunyan, John, 1628-1688.",Bunyan,John,,1628,1688,116,0.001213999
"Stillingfleet, Edward, 1635-1699.",Stillingfleet,Edward,,1635,1699,114,0.001193068
"Shakespeare, William, 1564-1616.",Shakespeare,William,,1564,1616,111,0.001161671
"Boyle, Robert, 1627-1691.",Boyle,Robert,,1627,1691,110,0.001151206
"Tillotson, John, 1630-1694.",Tillotson,John,,1630,1694,109,0.00114074
"Wither, George, 1588-1667.",Wither,George,,1588,1667,106,0.001109344
