author,count
,1032
"Love, William, d. 1795.",1
"Richards, George, 1767-1837.",2
"Robertson, George, 1750?-1832. Great Britain. Board of Agriculture.",1
"Nisbet, Patrick.",1
Church of Scotland. General Assembly,1
"Baxter, Richard, 1615-1691.",9
Church of Scotland. General Assembly.,1
"Downes, Samuel",1
"Cleland, Charles.",1
"Jurieu, Pierre, 1637-1713.",1
"Webb, Philip Carteret, 1700-1770.",2
"Whiston, William, 1667-1752.",7
"Swaine, Charles",1
"Sepp von Reinegg, Anton, 1655-1733 or 8.",1
"Brett, Thomas, 1667-1744.",5
"Boswell, James, 1740-1795.",1
"Blomberg, Karl Johann von, Baron.",1
"Sansom, Oliver, 1636-1710.",1
"Dumouriez, Charles Francois Du Perier, 1739-1823",2
"Robinson, Tancred, Sir, d. 1748. Martens, Friedrich, 1635-1699. Wood, John, Captain. Tasman, Abel Janszoon, 1603?-1659. Narbrough, John, Sir, 1640-1688.",1
"MacLaurin, Colin, 1698-1746.",9
"Smeaton, John, 1724-1792.",3
"Raspe, Rudolf Erich, 1737-1794.",2
"Stanyan, Abraham, 1669?-1732.",2
"Davies, Richard, 1635-1708.",2
"Billing, Robert.",1
"Louvet de Couvray, Jean-Baptiste, 1760-1797.",1
"Freind, John, 1675-1728.",1
"Fernández Navarrete, Domingo, d. 1689.",1
"Burke, Edmund, 1729-1797.",31
"Knowles, Charles, Sir, 1704?-1777,",2
"Burgh, James, 1714-1775.",2
"Churchman, John, 1705-1775.",1
"Stephens, William, d. 1718.",1
"Henry, Matthew, 1662-1714.",1
"Keir, James, 1735-1820.",1
"Richardson, John, 1667-1753.",1
"Buchan, David Stewart Erskine, Earl of, 1742-1829.",5
"Baretti, Giuseppe Marco Antonio, 1719-1789.",12
"Burney, Charles, 1726-1814.",7
"Elliot, John, Sir, 1736-1786.",1
"Staehlin, Jakob von, 1709-1785.",1
"Frend, William, 1757-1841.",5
"Woodward, Josiah, 1660-1712.",2
United States. Dept. of the Treasury.,3
"Coxe, William, 1747-1828.",9
"Falconbridge, Alexander, d. 1792.",1
Society for Promoting Christian Knowledge (Great Britain),1
"Cerri, Urbano.",1
"Richardson, Jonathan, 1665-1745.",3
"Muir, Thomas, 1765-1798.",1
"Hawkesworth, John, 1715?-1773.",8
"Hawkesworth, John, 1715?-1773,",6
"More, Henry, 1614-1687.",1
"Shaw, Samuel, of Edinburgh.",1
Ireland.,2
Scotland. Court of Session.,5
United States.,1
"Sabie, Francis, fl. 1587-1596.",1
"Oakes, Henry, Sir, Bart., 1756-1827.",1
"Priestley, Joseph, 1733-1804.",50
"Atterbury, Francis, bp. of Rochester, 1662-1732",1
"Holwell, J. Z. 1711-1798.",4
"Hill, Richard, Sir, 1733-1808.",5
"O'Leary, Arthur, 1729-1802.",3
"Robins, Benjamin, 1707-1751.",3
"Almon, John, 1737-1805.",24
"Wright, John, fl. 1785.",1
"Jebb, John, 1736-1786.",1
"Watson, Richard, 1737-1816.",22
East India Company.,11
"Davis, John, 1761-1847.",1
"Love, John, 1757-1825.",2
"Genlis, Stéphanie Félicité, comtesse de, 1746-1830.",16
"Pownall, Thomas, 1722-1805.",6
"Alleine, Joseph, 1634-1668.",1
"Leland, John, 1691-1766.",4
"Warton, Joseph, 1722-1800. Johnson, Samuel, 1709-1784. Bathurst, Richard, -1762. Hawkesworth, John, 1715?-1773.",2
"Warton, Joseph, 1722-1800. Bathurst, Richard, d. 1762. Johnson, Samuel, 1709-1784. Hawkesworth, John, 1715?-1773.",8
"Evans, Ambrose.",1
"Scott, Helenus, 1760-1821.",1
"Waldie, John.",2
"Bignon, Jean Paul, 1662-1743.",2
W. G. fl. 1740.,3
"Swift, Jonathan, 1667-1745.",306
"Hill, John, 1714?-1775.",4
"Smollett, T. 1721-1771.",20
"Defoe, Daniel, 1661?-1731,",2
"Berington, Simon, 1680-1755.",9
"Fénelon, François de Salignac de La Mothe-, 1651-1715.",6
"Peacock, Lucy, fl. 1785-1816.",1
"Lewis, John, pamphleteer.",1
"Barlow, Joel, 1754-1812.",2
"Heylyn, Peter, 1600-1662.",1
"Daniels, Thomas.",1
"Busby, Thomas, 1755-1838.",1
"Voltaire, 1694-1778.",13
"Fullwood, Francis, d. 1693.",1
"Harrison, Gustavus.",2
"Ovid, 43 B.C.-17 or 18 A.D.",5
"Forbes, Robert, 1708-1775.",2
"Cramer, Karl Gottlieb, 1758-1817.",2
"Roberts, R., Miss., d. 1788.",1
"Berkeley, George, 1685-1753.",13
"Mallet, David, 1705?-1765.",12
Epictetus.,2
"Bayly, Anselm, d 1794.",1
"Mickle, William Julius, 1735-1788.",5
"Nott, John, 1751-1825.",2
"Jones, Lewis, Vicar of Caldicut.",1
"Richardson, William, 1743-1814.",1
"Tournay, T.",1
"Belknap, Jeremy, 1744-1798.",2
"Morse, Jedidiah, 1761-1826.",1
"Cartwright, John, 1740-1824.",3
"A. W. L. L., A. W. Virginian, pseud.",2
"Bradford, Andrew, 1686-1742.",3
"Scott, John, 1731-1783.",3
"Tasso, Torquato, 1544-1595.",7
"Carey, George Saville, 1743-1807.",1
"Butler, Joseph, 1692-1752.",4
"Atwood, G. 1746-1807.",1
"Walker,Robert, fl. 1796.",1
"Shaw, William, 1749-1831.",3
"Sulivan, Richard Joseph, Sir, 1752-1806.",5
"Andrews, John, 1736-1809.",2
"Knight, Richard Payne, 1751-1824.",2
Dwalphintramis.,1
"[Asplin, William], 1687-1758.",1
"[Dameto, Juan Bautista] 1554-1633.",1
"Keate, George, 1729-1797.",7
"Smith, Charles, 1715?-1762.",1
"Jerningham, Mr. 1737?-1812.",14
"Rollin, Charles, 1661-1741.",37
Orthodox Eastern Church.,1
"Bannatyne, George, 1545-1608?",2
"Ritson, Joseph, 1752-1803.",13
"Hagen, Lorentz",1
"Hargrove, Ely, 1741-1818.",1
"Seward, William, 1747-1799.",19
"Walpole, Horace, 1717-1797",3
"Walpole, Horace, 1717-1797.",8
"Gunning, Mrs. 1740?-1800.",10
"Lee, Charles, 1731-1782.",1
"Adams, John, 1750?-1814,",2
Convention of Royal Burghs (Scotland),2
"Neve, Timothy, 1724-1798.",2
"Bennett, Mrs. d. 1808.",6
"Baillie, George, 1664-1738,",1
"Strype, John, 1643-1737.",5
Great Britain.,17
Great Britain. Parliament.,110
"Knatchbull, Norton, Sir, 1602-1685.",1
"Croxall, Samuel, d. 1752.",1
England and Wales. Parliament.,1
"Francis, Philip, Sir, 1740-1818.",2
"Nottingham, Daniel Finch, Earl of, 1647-1730.",1
"Warren, Richard.",1
"Bainbrigg, Thomas, 1636-1703.",1
"Hoadly, Benjamin, 1676-1761.",11
"Sherlock, William, 1641?-1707.",8
Poulton.,1
"Nowell, Thomas, 1730-1801.",2
"Randolph, Thomas, 1701-1783.",2
"North, George, 1710-1772.",1
"Baltus, Jean Franc̦ois, 1667-1743.",1
"Cotton, Robert, Sir, 1571-1631.",2
"Cornwallis, Charles Cornwallis, Marquis, 1738-1805.",2
"Rumbold, Thomas, Sir, bart., 1736-1791.",1
"Bennet, Thomas, 1673-1728.",2
"Walpole, Horatio Walpole, Baron, 1678-1757.",3
"Mercier, R.E.. Moore, Thomas, 1779-1852.",4
"Goodwin, John, 1594?-1665.",1
"Gifford, William, 1756-1826.",3
"Lee, Henry, D.D.",1
"Newnham, Nathaniel.",1
"Gent, Thomas, 1693-1778.",1
"Ayliffe, John, 1676-1732.",1
"Keys, John.",5
"Hill, Thomas Ford.",1
"Monboddo, James Burnett, Lord, 1714-1799.",16
"Herbert of Cherbury, Edward Herbert, Baron, 1583-1648.",1
"Astle, Thomas, 1735-1803. Grose, Francis, 1731?-1791.",7
"[Ledwich, Edward] 1738-1823.",1
"Bourne, Henry, 1696-1733.",2
"Ware, James, Sir, 1594-1666.",1
"Ashmole, Elias, 1617-1692.",4
"Grose, Francis, 1731?-1791.",28
"Hildyard, Christopher, 1668 or 9-1734.",1
"Brooks, Jonathan, of Bristol,",1
"Dyer, W.",1
"Pindar, Peter, 1738-1819.",10
"Warburton, William, 1698-1779.",21
"Athenagoras, 2nd cent.",3
"Reeves, William, 1667-1726.",4
"White, Thomas, 1593-1676.",1
"Chalmers, George, 1742-1825.",7
"Gordon, Thomas, d. 1750.",10
"Horler, Joseph, fl 1721-1732.",1
"Barclay, Robert, 1648-1690.",3
"Lindseu, Theophilus.",1
"Churchill, Charles, 1731-1764.",13
"Kingston, Richard, b. 1635?",1
"Erasmus, Desiderius, d. 1536.",6
"Cave, William, 1637-1713.",3
"Lamy, Bernard, 1640-1715.",1
"Protestant Association (London, England)",1
"Farrer, Mary Goldsmith.",1
"Henley, John, 1692-1756.",3
"Byng, John, 1704-1757. Great Britain. Admiralty.",2
"Scott, Major (John), 1747-1819,",1
"Vesey, Francis, 1721?-1804.",1
"Baxter, Andrew, 1686?-1750.",9
"Buchanan, George, 1506-1582.",2
"Murphy, Arthur, 1727-1805.",14
"Cazotte, Jacques, 1719-1792. Chavis, Denis.",3
"Heron, Robert, 1764-1807, Cazotte, Jacques, 1719-1792, Chavis, Denis,",3
"Place, Conyers.",1
"Fraunce, Abraham, fl. 1587-1633.",1
"Oldmixon, Mr. 1673-1742.",1
"Mason, William, 1725-1797, Baynes, John, 1758-1787,",1
"Laud, William, 1573-1645.",2
"Potter, John, 1673 or 4-1747.",3
"Rous, Francis, b. 1615.",1
"Apollonius, Rhodius.",3
"Jones, John, of Merionethshire.",1
"Cooke, Edward, 1755-1820.",1
Aristotle.,5
"Webster, William.",4
"Voster, Elias.",1
"Hill, John.",4
"Craighead, William.",1
"Lowe, Solomon.",2
"Mair, John.",3
"Brown, George, 1650-1730.",1
"Birks, Anthony.",1
"Kirkby, John, 1705-1754.",3
"Walrond, Henry, d. 1693?",1
"Forster, Mark.",1
"Wiseman, R.",1
"Eadon, John.",1
"Halfpenny, William, d. 1755.",2
"Spence, David.",1
"Fisher, George.",1
"Leybourn, William, 1626-1716.",6
"Ayres, John, fl. 1680-1700.",1
"M'Arthur, John, 1755-1840.",1
"Miller, James, 1706-1744.",2
"La Chambre, Marin Cureau de, 1594-1669.",1
"Allestree, Richard, 1619-1681.",3
"Glasse, Hannah, 1708-1770.",1
"Jenyns, Soame, 1704-1787.",17
"Cockin, William, 1736-1801.",1
"Bysshe, Edward, fl. 1702-1712.",6
"Bysshe, Edward, active 1702-1712.",1
"Bysshe, Edward, fl. 1712.",1
"Smith, James, of Tewkesbury.",1
"Brownrigg, William, 1711-1800.",1
"Du Fresnoy, Charles Alphonse, 1611-1665.",1
"Armstrong, John, 1709-1779.",6
"Holmes, John, master of Holt grammar school.",1
"Lyle, David, fl. 1762",1
"Miles, William Augustus, 1753?-1817.",4
"Cumberland, Richard, 1732-1811.",21
"Griffiths, Ralph, 1720-1803.",1
"Samuel, E., Campbell, Lawrence Dundas,",6
"Hervey, James, 1714-1758.",9
Westminster Assembly,1
"Association for Preserving Liberty and Property against Republicans and Levellers (London, England)",2
Society for Preserving Liberty and Property against Republicans and Levellers.,1
"Derham, W. 1657-1735.",6
"Heath, Robert, d. 1779.",1
"Harris, John, 1667?-1719.",3
"Ferguson, James, 1710-1776.",6
"Leadbetter, Charles, fl. 1728.",7
"Davies, Myles, 1662-1716?",1
"Hardwicke, Philip Yorke, Earl of, 1720-1790.",4
"Dunton, John, 1659-1733. Athenian Society (London, England)",3
"Parry, Richard, 1722-1780.",1
"Robertson, William, 1705-1783.",1
"Gellius, Aulus.",5
"Hoole, Samuel, 1757 or 8-1839.",1
"Beveridge, William, 1637-1708.",6
Bengal (India). Supreme Council.,2
"Staunton, George, Sir, 1737-1801.",6
Great Britain. Parliament. House of Lords.,10
"Rudd, Margaret Caroline, b. 1744 or 5.",2
"Gray, George. Leycester, Ralph. Clive, Robert Clive, Baron, 1725-1774. East India Company.",1
"Guerra, Francisco, 1916- , Raymond, L., (Londres) Wentworth, Thomas. Vernon, Edward.",1
"Pordage, Samuel, 1633-1691?",1
"Kelly, Hugh, 1739-1777.",4
"ʻInāyat Allāh, d. ca. 1671.",3
"Willison, John, 1680-1750.",9
"Scott, Job, 1751-1793.",2
