author_name,last_name,first_name,title,birthdate,deathdate,misc1,misc2,misc3,misc4,,misc5,count,fraction_total,dataset
"Swift, Jonathan, 1667-1745.",Swift,Jonathan,not_applicable,1667,1745,,,,,,,310,0.032832027,estc
"Smollett, T. (Tobias), 1721-1771.",Smollett,Tobias,not_applicable,1721,1771,,,,,,,160,0.016945562,estc
"Johnson, Samuel, 1709-1784.",Johnson,Samuel,not_applicable,1709,1784,,,,,,,155,0.016416014,estc
"Griffiths, Ralph, 1720-1803.",Griffiths,Ralph,not_applicable,1720,1803,,,,,,,144,0.015251006,estc
Great Britain. Parliament.,Great Britain,Parliament,not_applicable,,,,,,,,,110,0.011650074,estc
"Shakespeare, William, 1564-1616.",Shakespeare,William,not_applicable,1564,1616,,,,,,,102,0.010802796,estc
"Defoe, Daniel, 1661?-1731.",Defoe,Daniel,not_applicable, 1661?,1731,,,,,,,68,0.007201864,estc
Philological Society (Great Britain),not_applicable,Philological Society (Great Britain),not_applicable,,,,,,,,,61,0.006460496,estc
"Macfarquhar, Colin, 1745?-1793.",Macfarquhar,Colin,not_applicable, 1745?,1793,,,,,,,56,0.005930947,estc
"Priestley, Joseph, 1733-1804.",Priestley,Joseph,not_applicable,1733,1804,,,,,,,53,0.005613218,estc
"Dodsley, Robert, 1703-1764.",Dodsley,Robert,not_applicable,1703,1764,,,,,,,52,0.005507308,estc
"Pope, Alexander, 1688-1744.",Pope,Alexander,not_applicable,1688,1744,,,,,,,51,0.005401398,estc
"Anderson, James, 1739-1808.",Anderson,James,not_applicable,1739,1808,,,,,,,48,0.005083669,estc
"Bolingbroke, Henry St. John, Viscount, 1678-1751.",St John,Henry,not_applicable,1678,1751,,,,,,,47,0.004977759,estc
"Addison, Joseph, 1672-1719.",Addison,Joseph,not_applicable,1672,1719,,,,,,,43,0.00455412,estc
"Frederick II, King of Prussia, 1712-1786.",Frederick II,King of Prussia,not_applicable,1712,1786,,,,,,,40,0.004236391,estc
"Gleig, George, 1753-1840.",Gleig,George,not_applicable,1753,1840,,,,,,,39,0.004130481,estc
"Sinclair, John, Sir, 1754-1835.",Sinclair,John,not_applicable,1754,1835,,,,,,,39,0.004130481,estc
"Rollin, Charles, 1661-1741.",Rollin,Charles,not_applicable,1661,1741,,,,,,,37,0.003918661,estc
"Sterne, Laurence, 1713-1768.",Sterne,Laurence,not_applicable,1713,1768,,,,,,,37,0.003918661,estc
"Grose, Francis, 1731?-1791.",Grose,Francis,not_applicable, 1731?,1791,,,,,,,35,0.003706842,estc
"Leland, John, 1506?-1552.",Leland,John,not_applicable, 1506?,1552,,,,,,,35,0.003706842,estc
"Dryden, John, 1631-1700.",Dryden,John,not_applicable,1631,1700,,,,,,,34,0.003600932,estc
"Raynal, abbé 1713-1796",Raynal,abbé,not_applicable,1713,1796,,,,,,,33,0.003495022,estc
"Hayley, William, 1745-1820.",Hayley,William,not_applicable,1745,1820,,,,,,,33,0.003495022,estc
"Secker, Thomas, 1693-1768.",Secker,Thomas,not_applicable,1693,1768,,,,,,,32,0.003389112,estc
Great Britain. Admiralty. Great Britain. Commissioners of Longitude. Great Britain. Nautical Almanac Office.,Great Britain,Nautical Almanac Office,not_applicable,,,,,,,,,32,0.003389112,estc
"Burke, Edmund, 1729-1797.",Burke,Edmund,not_applicable,1729,1797,,,,,,,31,0.003283203,estc
Great Britain. Parliament. House of Commons.,Great Britain,Parliament House of Commons,not_applicable,,,,,,,,,31,0.003283203,estc
"Marana, Giovanni Paolo, 1642-1693.",Marana,Giovanni Paolo,not_applicable,1642,1693,,,,,,,30,0.003177293,estc
"Colman, George, 1732-1794.",Colman,George,not_applicable,1732,1794,,,,,,,29,0.003071383,estc
"Almon, John, 1737-1805.",Almon,John,not_applicable,1737,1805,,,,,,,29,0.003071383,estc
"Steele, Richard, Sir, 1672-1729.",Steele,Richard,not_applicable,1672,1729,,,,,,,29,0.003071383,estc
"Nichols, John, 1745-1826.",Nichols,John,not_applicable,1745,1826,,,,,,,28,0.002965473,estc
"Reid, Andrew, d. 1767?",Reid,Andrew,not_applicable,,1767?,,,,,,,25,0.002647744,estc
"Green, C. H.",Green,C H,not_applicable,,,,,,,,,25,0.002647744,estc
"Anderson, Robert, 1750-1830.",Anderson,Robert,not_applicable,1750,1830,,,,,,,25,0.002647744,estc
Royal Society of Arts (Great Britain),Great Britain,Royal Society of Arts,not_applicable,,,,,,,,,25,0.002647744,estc
"Kames, Henry Home, Lord, 1696-1782.",Home,Henry,not_applicable,1696,1782,,,,,,,24,0.002541834,estc
"Foote, Samuel, 1720-1777.",Foote,Samuel,not_applicable,1720,1777,,,,,,,24,0.002541834,estc
"Pulteney, William, Earl of Bath, 1684-1764.",Pulteney,William,not_applicable,1684,1764,,,,,,,23,0.002435925,estc
"Warburton, William, 1698-1779.",Warburton,William,not_applicable,1698,1779,,,,,,,23,0.002435925,estc
"Young, Arthur, 1741-1820.",Young,Arthur,not_applicable,1741,1820,,,,,,,22,0.002330015,estc
"Watson, Richard, 1737-1816.",Watson,Richard,not_applicable,1737,1816,,,,,,,22,0.002330015,estc
"Moore, John, 1729-1802.",Moore,John,not_applicable,1729,1802,,,,,,,21,0.002224105,estc
"Cumberland, Richard, 1732-1811.",Cumberland,Richard,not_applicable,1732,1811,,,,,,,21,0.002224105,estc
