author_name,last_name,first_name,title,birthdate,deathdate,misc1,misc2,misc3,misc4,,misc5,count,fraction_total
"Swift, Jonathan, 1667-1745.",Swift,Jonathan,,1667,1745,,,,,,,310,0.032832027
"Smollett, T. (Tobias), 1721-1771.",Smollett,Tobias,,1721,1771,,,,,,,160,0.016945562
"Johnson, Samuel, 1709-1784.",Johnson,Samuel,,1709,1784,,,,,,,155,0.016416014
"Griffiths, Ralph, 1720-1803.",Griffiths,Ralph,,1720,1803,,,,,,,144,0.015251006
Great Britain. Parliament.,Great Britain,Parliament,,,,,,,,,,110,0.011650074
"Shakespeare, William, 1564-1616.",Shakespeare,William,,1564,1616,,,,,,,102,0.010802796
"Defoe, Daniel, 1661?-1731.",Defoe,Daniel,, 1661?,1731,,,,,,,68,0.007201864
Philological Society (Great Britain),,Philological Society (Great Britain),,,,,,,,,,61,0.006460496
"Macfarquhar, Colin, 1745?-1793.",Macfarquhar,Colin,, 1745?,1793,,,,,,,56,0.005930947
"Priestley, Joseph, 1733-1804.",Priestley,Joseph,,1733,1804,,,,,,,53,0.005613218
"Dodsley, Robert, 1703-1764.",Dodsley,Robert,,1703,1764,,,,,,,52,0.005507308
"Pope, Alexander, 1688-1744.",Pope,Alexander,,1688,1744,,,,,,,51,0.005401398
"Anderson, James, 1739-1808.",Anderson,James,,1739,1808,,,,,,,48,0.005083669
"Bolingbroke, Henry St. John, Viscount, 1678-1751.",St John,Henry,,1678,1751,,,,,,,47,0.004977759
"Addison, Joseph, 1672-1719.",Addison,Joseph,,1672,1719,,,,,,,43,0.00455412
"Frederick II, King of Prussia, 1712-1786.",Frederick II,King of Prussia,,1712,1786,,,,,,,40,0.004236391
"Gleig, George, 1753-1840.",Gleig,George,,1753,1840,,,,,,,39,0.004130481
"Sinclair, John, Sir, 1754-1835.",Sinclair,John,,1754,1835,,,,,,,39,0.004130481
"Rollin, Charles, 1661-1741.",Rollin,Charles,,1661,1741,,,,,,,37,0.003918661
"Sterne, Laurence, 1713-1768.",Sterne,Laurence,,1713,1768,,,,,,,37,0.003918661
"Grose, Francis, 1731?-1791.",Grose,Francis,, 1731?,1791,,,,,,,35,0.003706842
"Leland, John, 1506?-1552.",Leland,John,, 1506?,1552,,,,,,,35,0.003706842
"Dryden, John, 1631-1700.",Dryden,John,,1631,1700,,,,,,,34,0.003600932
"Raynal, abbé 1713-1796",Raynal,abbé,,1713,1796,,,,,,,33,0.003495022
"Hayley, William, 1745-1820.",Hayley,William,,1745,1820,,,,,,,33,0.003495022
"Secker, Thomas, 1693-1768.",Secker,Thomas,,1693,1768,,,,,,,32,0.003389112
Great Britain. Admiralty. Great Britain. Commissioners of Longitude. Great Britain. Nautical Almanac Office.,Great Britain,Nautical Almanac Office,,,,,,,,,,32,0.003389112
"Burke, Edmund, 1729-1797.",Burke,Edmund,,1729,1797,,,,,,,31,0.003283203
Great Britain. Parliament. House of Commons.,Great Britain,Parliament House of Commons,,,,,,,,,,31,0.003283203
"Marana, Giovanni Paolo, 1642-1693.",Marana,Giovanni Paolo,,1642,1693,,,,,,,30,0.003177293
"Colman, George, 1732-1794.",Colman,George,,1732,1794,,,,,,,29,0.003071383
"Almon, John, 1737-1805.",Almon,John,,1737,1805,,,,,,,29,0.003071383
"Steele, Richard, Sir, 1672-1729.",Steele,Richard,,1672,1729,,,,,,,29,0.003071383
"Nichols, John, 1745-1826.",Nichols,John,,1745,1826,,,,,,,28,0.002965473
"Reid, Andrew, d. 1767?",Reid,Andrew,,,1767?,,,,,,,25,0.002647744
"Green, C. H.",Green,C H,,,,,,,,,,25,0.002647744
"Anderson, Robert, 1750-1830.",Anderson,Robert,,1750,1830,,,,,,,25,0.002647744
Royal Society of Arts (Great Britain),Great Britain,Royal Society of Arts,,,,,,,,,,25,0.002647744
"Kames, Henry Home, Lord, 1696-1782.",Home,Henry,,1696,1782,,,,,,,24,0.002541834
"Foote, Samuel, 1720-1777.",Foote,Samuel,,1720,1777,,,,,,,24,0.002541834
"Pulteney, William, Earl of Bath, 1684-1764.",Pulteney,William,,1684,1764,,,,,,,23,0.002435925
"Warburton, William, 1698-1779.",Warburton,William,,1698,1779,,,,,,,23,0.002435925
"Young, Arthur, 1741-1820.",Young,Arthur,,1741,1820,,,,,,,22,0.002330015
"Watson, Richard, 1737-1816.",Watson,Richard,,1737,1816,,,,,,,22,0.002330015
"Moore, John, 1729-1802.",Moore,John,,1729,1802,,,,,,,21,0.002224105
"Cumberland, Richard, 1732-1811.",Cumberland,Richard,,1732,1811,,,,,,,21,0.002224105
"Baretti, Giuseppe Marco Antonio, 1719-1789.",Baretti,Giuseppe Marco Antonio,,1719,1789,,,,,,,20,0.002118195
"Genlis, Stéphanie Félicité, comtesse de, 1746-1830.",Félicité,Stéphanie,,1746,1830,,,,,,,20,0.002118195
"Emerson, William, 1701-1782.",Emerson,William,,1701,1782,,,,,,,20,0.002118195
South Carolina. Assembly.,South Carolina,Assembly,,,,,,,,,,20,0.002118195
"Bower, Archibald, 1686-1766.",Bower,Archibald,,1686,1766,,,,,,,19,0.002012286
"Encyclopaedia Britannica, inc.",Encyclopaedia Britannica,inc,,,,,,,,,,19,0.002012286
"Milton, John, 1608-1674.",Milton,John,,1608,1674,,,,,,,19,0.002012286
"Sully, Maximilien de Béthune, duc de, 1559-1641.",de Béthune,Maximilien,,1559,1641,,,,,,,19,0.002012286
"Maurice, Thomas, 1754-1824.",Maurice,Thomas,,1754,1824,,,,,,,19,0.002012286
"Seward, William, 1747-1799.",Seward,William,,1747,1799,,,,,,,19,0.002012286
"Boyer, Abel, 1667-1729.",Boyer,Abel,,1667,1729,,,,,,,18,0.001906376
"Erskine, Ralph, 1685-1752.",Erskine,Ralph,,1685,1752,,,,,,,18,0.001906376
"Haywood, Eliza Fowler, 1693?-1756.",Haywood,Eliza Fowler,, 1693?,1756,,,,,,,17,0.001800466
"Gleig, George, 1753-1840.",Gleig,George,,1753,1840,,,,,,,17,0.001800466
"Thou, Jacques-Auguste de, 1553-1617.",Thou,Jacques-Auguste de,,1553,1617,,,,,,,17,0.001800466
"Cicero, Marcus Tullius.",Cicero,Marcus Tullius,,,,,,,,,,17,0.001800466
"Jenyns, Soame, 1704-1787.",Jenyns,Soame,,1704,1787,,,,,,,17,0.001800466
"Gordon, Thomas, d. 1750.",Gordon,Thomas,,,1750,,,,,,,17,0.001800466
Great Britain.,,Great Britain,,,,,,,,,,17,0.001800466
Horace.,,Horace,,,,,,,,,,17,0.001800466
"Kippis, Andrew, 1725-1795.",Kippis,Andrew,,1725,1795,,,,,,,16,0.001694556
"Monboddo, James Burnett, Lord, 1714-1799.",Burnett,James,,1714,1799,,,,,,,16,0.001694556
"Hawkesworth, John, 1715?-1773.",Hawkesworth,John,, 1715?,1773,,,,,,,16,0.001694556
"Hanway, Jonas, 1712-1786.",Hanway,Jonas,,1712,1786,,,,,,,16,0.001694556
"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham,Edward,, 1737?,1812,,,,,,,16,0.001694556
"Clarke, Samuel, 1675-1729.",Clarke,Samuel,,1675,1729,,,,,,,16,0.001694556
"Percy, Thomas, 1729-1811.",Percy,Thomas,,1729,1811,,,,,,,16,0.001694556
"Mason, William, 1725-1797.",Mason,William,,1725,1797,,,,,,,16,0.001694556
"Davenant, Charles, 1656-1714.",Davenant,Charles,,1656,1714,,,,,,,15,0.001588646
"Oxford, Edward Harley, Earl of, 1689-1741.",Harley,Edward,,1689,1741,,,,,,,15,0.001588646
"Lyttelton, George Lyttelton, Baron, 1709-1773.",Lyttelton,George,,1709,1773,,,,,,,15,0.001588646
"Trenchard, John, 1662-1723.",Trenchard,John,,1662,1723,,,,,,,15,0.001588646
"Aikin, John, 1747-1822.",Aikin,John,,1747,1822,,,,,,,15,0.001588646
"Tindal, N. 1687-1774.",Tindal,N,,1687,1774,,,,,,,15,0.001588646
"Amhurst, N. (Nicholas), 1697-1742.",Amhurst,Nicholas,,1697,1742,,,,,,,15,0.001588646
"Boston, Thomas, 1677-1732.",Boston,Thomas,,1677,1732,,,,,,,15,0.001588646
"Gilpin, William, 1724-1804.",Gilpin,William,,1724,1804,,,,,,,15,0.001588646
Ireland. Parliament. House of Commons.,Ireland,Parliament House of Commons,,,,,,,,,,15,0.001588646
"Murphy, Arthur, 1727-1805.",Murphy,Arthur,,1727,1805,,,,,,,14,0.001482737
"Martin, Benjamin, 1705-1782.",Martin,Benjamin,,1705,1782,,,,,,,14,0.001482737
"Middleton, Conyers, 1683-1750.",Middleton,Conyers,,1683,1750,,,,,,,14,0.001482737
"Guicciardini, Francesco, 1483-1540.",Guicciardini,Francesco,,1483,1540,,,,,,,14,0.001482737
