author_name,first_name,last_name,title,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
William Shakespeare,William,Shakespeare,,"33,180",,,0.091391,,
Diana Hacker,Diana,Hacker,,"18,974",,,0.052262,,
Geoffrey Chaucer,Geoffrey,Chaucer,,"10,448",,,0.028778,,
William Wordsworth,William,Wordsworth,,"9,977",,,0.027481,,
Edgar Allan Poe,Edgar Allen,Poe,,"9,904",,,0.027279,,
T. S. Eliot,T S,Eliot,,"8,398",,,0.023131,,
William Faulkner,William,Faulkner,,"8,108",,,0.022333,,
Virginia Woolf,Virginia,Woolf,,"7,673",,,0.021134,,
Nathaniel Hawthorne,Nathaniel,Hawthorne,,"7,016",,,0.019325,,
Ernest Hemingway,Ernest,Hemingway,,"7,016",,,0.019325,,
Laurie G. Kirszner,Laurie G,Kirszner,,"6,909",,,0.01903,,
John Milton,John,Milton,,"6,834",,,0.018823,,
James Joyce,James,Joyce,,"6,797",,,0.018722,,
Mary Wollstonecraft Shelley,Mary Wollstonecraft,Shelley,,"6,358",,,0.017512,,
Stephen R. Mandell,Stephen R,Mandell,,"6,271",,,0.017273,,
Jane Austen,Jane,Austen,,"6,235",,,0.017174,,
Toni Morrison,Toni,Morrison,,"6,183",,,0.01703,,
Samuel Taylor Coleridge,Samuel Taylor,Coleridge,,"6,168",,,0.016989,,
William Blake,William,Blake,,"5,811",,,0.016006,,
Herman Melville,Herman,Melville,,"5,781",,,0.015923,,
Gerald Graff,Gerald,Graff,,"5,594",,,0.015408,,
Jonathan Swift,Jonathan,Swift,,"5,429",,,0.014954,,
Cathy Birkenstein,Cathy,Birkenstein,,"5,275",,,0.014529,,
John Keats,John,Keats,,"5,250",,,0.014461,,
Walt Whitman,Walt,Whitman,,"5,210",,,0.01435,,
Kate Chopin,Kate,Chopin,,"5,179",,,0.014265,,
Mark Twain,Mark,Twain,,"4,950",,,0.013634,,
Sophocles,Sophocles,,,"4,939",,,0.013604,,
Andrea A. Lunsford,Andrea A,Lunsford,,"4,869",,,0.013411,,
C. S. Lewis,C S,Lewis,,"4,856",,,0.013375,,
Charlotte Perkins Gilman,Charlotte,Perkins Gilman,,"4,801",,,0.013224,,
Joseph Conrad,Joseph,Conrad,,"4,798",,,0.013216,,
Charles Dickens,Charles,Dickens,,"4,716",,,0.01299,,
Alfred Tennyson Tennyson,Alfred,Tennyson,,"4,697",,,0.012937,,
Oscar Wilde,Oscar,Wilde,,"4,482",,,0.012345,,
John Donne,John,Donne,,"4,434",,,0.012213,,
Henry David Thoreau,Henry David,Thoreau,,"4,316",,,0.011888,,
Henry James,Henry,James,,"4,256",,,0.011723,,
F. Scott Fitzgerald,F Scott,Fitzgerald,,"4,216",,,0.011613,,
