author_name,first_name,last_name,title,count,fraction_total,dataset
William Shakespeare,William,Shakespeare,not_applicable,33180,0.022192,open_syllabus
Diana Hacker,Diana,Hacker,not_applicable,18974,0.01269,open_syllabus
Geoffrey Chaucer,Geoffrey,Chaucer,not_applicable,10448,0.006988,open_syllabus
William Wordsworth,William,Wordsworth,not_applicable,9977,0.006673,open_syllabus
Edgar Allan Poe,Edgar Allen,Poe,not_applicable,9904,0.006624,open_syllabus
T. S. Eliot,T S,Eliot,not_applicable,8398,0.005617,open_syllabus
William Faulkner,William,Faulkner,not_applicable,8108,0.005423,open_syllabus
Virginia Woolf,Virginia,Woolf,not_applicable,7673,0.005132,open_syllabus
Nathaniel Hawthorne,Nathaniel,Hawthorne,not_applicable,7016,0.004693,open_syllabus
Ernest Hemingway,Ernest,Hemingway,not_applicable,7016,0.004693,open_syllabus
Laurie G. Kirszner,Laurie G,Kirszner,not_applicable,6909,0.004621,open_syllabus
John Milton,John,Milton,not_applicable,6834,0.004571,open_syllabus
James Joyce,James,Joyce,not_applicable,6797,0.004546,open_syllabus
Mary Wollstonecraft Shelley,Mary Wollstonecraft,Shelley,not_applicable,6358,0.004252,open_syllabus
Stephen R. Mandell,Stephen R,Mandell,not_applicable,6271,0.004194,open_syllabus
Jane Austen,Jane,Austen,not_applicable,6235,0.00417,open_syllabus
Toni Morrison,Toni,Morrison,not_applicable,6183,0.004135,open_syllabus
Samuel Taylor Coleridge,Samuel Taylor,Coleridge,not_applicable,6168,0.004125,open_syllabus
William Blake,William,Blake,not_applicable,5811,0.003887,open_syllabus
Herman Melville,Herman,Melville,not_applicable,5781,0.003867,open_syllabus
Gerald Graff,Gerald,Graff,not_applicable,5594,0.003741,open_syllabus
Jonathan Swift,Jonathan,Swift,not_applicable,5429,0.003631,open_syllabus
Cathy Birkenstein,Cathy,Birkenstein,not_applicable,5275,0.003528,open_syllabus
John Keats,John,Keats,not_applicable,5250,0.003511,open_syllabus
Walt Whitman,Walt,Whitman,not_applicable,5210,0.003485,open_syllabus
