author_name,first_name,last_name,title,count,fraction_total,dataset
William Shakespeare,William,Shakespeare,not_applicable,"33,180",0.091391,open_syllabus
Diana Hacker,Diana,Hacker,not_applicable,"18,974",0.052262,open_syllabus
Geoffrey Chaucer,Geoffrey,Chaucer,not_applicable,"10,448",0.028778,open_syllabus
William Wordsworth,William,Wordsworth,not_applicable,"9,977",0.027481,open_syllabus
Edgar Allan Poe,Edgar Allen,Poe,not_applicable,"9,904",0.027279,open_syllabus
T. S. Eliot,T S,Eliot,not_applicable,"8,398",0.023131,open_syllabus
William Faulkner,William,Faulkner,not_applicable,"8,108",0.022333,open_syllabus
Virginia Woolf,Virginia,Woolf,not_applicable,"7,673",0.021134,open_syllabus
Nathaniel Hawthorne,Nathaniel,Hawthorne,not_applicable,"7,016",0.019325,open_syllabus
Ernest Hemingway,Ernest,Hemingway,not_applicable,"7,016",0.019325,open_syllabus
Laurie G. Kirszner,Laurie G,Kirszner,not_applicable,"6,909",0.01903,open_syllabus
John Milton,John,Milton,not_applicable,"6,834",0.018823,open_syllabus
James Joyce,James,Joyce,not_applicable,"6,797",0.018722,open_syllabus
Mary Wollstonecraft Shelley,Mary Wollstonecraft,Shelley,not_applicable,"6,358",0.017512,open_syllabus
Stephen R. Mandell,Stephen R,Mandell,not_applicable,"6,271",0.017273,open_syllabus
Jane Austen,Jane,Austen,not_applicable,"6,235",0.017174,open_syllabus
Toni Morrison,Toni,Morrison,not_applicable,"6,183",0.01703,open_syllabus
Samuel Taylor Coleridge,Samuel Taylor,Coleridge,not_applicable,"6,168",0.016989,open_syllabus
William Blake,William,Blake,not_applicable,"5,811",0.016006,open_syllabus
Herman Melville,Herman,Melville,not_applicable,"5,781",0.015923,open_syllabus
Gerald Graff,Gerald,Graff,not_applicable,"5,594",0.015408,open_syllabus
Jonathan Swift,Jonathan,Swift,not_applicable,"5,429",0.014954,open_syllabus
Cathy Birkenstein,Cathy,Birkenstein,not_applicable,"5,275",0.014529,open_syllabus
John Keats,John,Keats,not_applicable,"5,250",0.014461,open_syllabus
Walt Whitman,Walt,Whitman,not_applicable,"5,210",0.01435,open_syllabus
Kate Chopin,Kate,Chopin,not_applicable,"5,179",0.014265,open_syllabus
Mark Twain,Mark,Twain,not_applicable,"4,950",0.013634,open_syllabus
Sophocles,Sophocles,not_applicable,not_applicable,"4,939",0.013604,open_syllabus
