author_name,,,,,grand_total
"Defoe, Daniel, 1661?-1731.",,,,,110
"More, Hannah, 1745-1833.",,,,,69
"Pope, Alexander, 1688-1744.",,,,,61
"Goldsmith, Oliver, 1730?-1774.",,,,,51
(unknown),,,,,47
"Kipling, Rudyard, 1865-1936",,,,,45
"Trusler, John, 1735-1820.",,,,,44
"Dibdin, Charles, 1745-1814.",,,,,41
"Pratt, Mr. (Samuel Jackson), 1749-1814.",,,,,41
"Shakespeare, William, 1564-1616",,,,,37
"Holcroft, Thomas, 1745-1809.",,,,,34
"Paine, Thomas, 1737-1809.",,,,,34
"Hayley, William, 1745-1820.",,,,,32
"Burke, Edmund, 1729-1797.",,,,,31
"Addison, Joseph, 1672-1719.",,,,,29
"O'Keeffe, John, 1747-1833.",,,,,29
"Sharp, Granville, 1735-1813.",,,,,29
"Arbuthnot, John, 1667-1735.",,,,,27
"Garrick, David, 1717-1779.",,,,,27
"Cumberland, Richard, 1732-1811.",,,,,26
"Gilpin, William, 1724-1804.",,,,,26
"Jerningham, Mr. (Edward), 1737?-1812.",,,,,26
"Kenrick, W. (William), 1725?-1779.",,,,,26
"Lennox, Charlotte, ca. 1729-1804.",,,,,25
"Murphy, Arthur, 1727-1805.",,,,,25
"Donovan, E. (Edward), 1768-1837.",,,,,23
"Gaskell, Elizabeth Cleghorn, 1810-1865",,,,,23
"Churchill, Charles, 1731-1764.",,,,,22
"Richardson, Samuel, 1689-1761.",,,,,22
"Dennis, John, 1657-1734.",,,,,21
"Hume, David, 1711-1776.",,,,,21
"Inchbald, Mrs., 1753-1821.",,,,,20
"Francklin, Thomas, 1721-1784.",,,,,19
"Centlivre, Susanna, 1667?-1723.",,,,,18
"Dodsley, Robert, 1703-1764.",,,,,18
"Pennant, Thomas, 1726-1798.",,,,,18
"Sheridan, Richard Brinsley, 1751-1816.",,,,,18
"Berkeley, George, 1685-1753.",,,,,17
"Carey, Henry, 1687?-1743.",,,,,16
"Gentleman, Francis, 1728-1784.",,,,,16
"Hill, Aaron, 1685-1750.",,,,,16
"Sterne, Laurence, 1713-1768.",,,,,16
"Bickerstaff, Isaac, 1735-1812.",,,,,15
"Cowley, Mrs. (Hannah), 1743-1809.",,,,,15
"Griffith, Mrs. (Elizabeth), 1720?-1793.",,,,,15
"Carey, George Saville, 1743-1807.",,,,,14
"Dudley, H. Bate, Sir (Henry Bate), 1745-1824.",,,,,14
"Jephson, Robert, 1736-1803.",,,,,14
"Warton, Thomas, 1728-1790.",,,,,14
"Boswell, James, 1740-1795.",,,,,13
"Brown, John, 1715-1766.",,,,,13
"Hull, Thomas, 1728-1808.",,,,,13
"Thomson, James, 1700-1748.",,,,,13
"Congreve, William, 1670-1729.",,,,,12
"Fawkes, Francis, 1720-1777.",,,,,12
"Francis, Philip, Sir, 1740-1818.",,,,,12
"Jones, Henry, 1721-1770.",,,,,12
"Kames, Henry Home, Lord, 1696-1782.",,,,,12
"Mason, William, 1725-1797.",,,,,12
"Woty, William, 1731?-1791.",,,,,12
"Gibbon, Edward, 1737-1794.",,,,,11
"Glover, Richard, 1712-1785.",,,,,11
"Gray, Thomas, 1716-1771.",,,,,11
"Pilon, Frederick, 1750-1788.",,,,,11
"Buffon, Georges Louis Leclerc, comte de, 1707-1788.",,,,,10
"Duck, Stephen, 1705-1756.",,,,,10
"Hutchinson, William, 1732-1814.",,,,,10
"Macpherson, James, 1736-1796.",,,,,10
"Paley, William, 1743-1805.",,,,,10
"Pinkerton, John, 1758-1826.",,,,,10
"Brand, John, d. 1808.",,,,,9
"Cibber, Theophilus, 1703-1758.",,,,,9
"Defoe, Daniel, 1661?-1731,",,,,,9
"Hawkesworth, John, 1715?-1773.",,,,,9
"James, Henry, 1843-1916",,,,,9
"Kelly, Hugh, 1739-1777.",,,,,9
"Lloyd, Robert, 1733-1764.",,,,,9
"MacNally, Leonard, 1752-1820.",,,,,9
"Radcliffe, Ann Ward, 1764-1823.",,,,,9
"Whiston, William, 1667-1752.",,,,,9
"Chetwood, W. R. (William Rufus), d. 1766.",,,,,8
"Cobb, James, 1756-1818.",,,,,8
Homer.,,,,,8
"Hutton, Charles, 1737-1823.",,,,,8
"Macklin, Charles, 1697?-1797.",,,,,8
"Spence, Thomas, 1750-1814.",,,,,8
"Trollope, Anthony, 1815-1882",,,,,8
"Aikin, John, 1747-1822.",,,,,7
"Blair, Hugh, 1718-1800.",,,,,7
"Burgoyne, John, 1722-1792.",,,,,7
"Burney, Fanny, 1752-1840.",,,,,7
"Dickens, Charles, 1812-1870",,,,,7
"Downman, Hugh, 1740-1809.",,,,,7
"Gerard, Alexander, 1728-1795.",,,,,7
"Lewis, M. G. (Matthew Gregory), 1775-1818.",,,,,7
"Morton, Thomas, 1764-1838.",,,,,7
"Rowe, Nicholas, 1674-1718.",,,,,7
"Stevens, George Alexander, 1710-1784.",,,,,7
"Williams, Helen Maria, 1762-1827.",,,,,7
"Boreman, Thomas, fl. 1730-1743.",,,,,6
"Brown, John, 1722-1787.",,,,,6
"Colman, George, 1732-1794.",,,,,6
"Delap, J. (John), 1725-1812.",,,,,6
"Disraeli, Isaac, 1766-1848.",,,,,6
"Eliot, George, 1819-1880",,,,,6
"Home, John, 1722-1808.",,,,,6
"Jefferson, Thomas, 1743-1826",,,,,6
"Johnson, Samuel, 1709-1784.",,,,,6
"Lee, Sophia, 1750-1824.",,,,,6
"Mendez, Moses, d. 1758.",,,,,6
"Milton, John, 1608-1674",,,,,6
"Savage, Richard, d. 1743.",,,,,6
"Smollett, Tobias George, 1721-1771.",,,,,6
"Twain, Mark, 1835-1910",,,,,6
"Andrews, Miles Peter, d. 1814.",,,,,5
"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",,,,,5
"Bentley, R. (Richard), 1708-1782.",,,,,5
"Berkeley, George Monck, 1763-1793.",,,,,5
"Berquin, M. (Arnaud), 1747-1791.",,,,,5
"Brooke, Frances, 1724?-1789.",,,,,5
"Brooke, Henry, 1703?-1783.",,,,,5
"Cradock, Joseph, 1742-1826.",,,,,5
"Craven, Elizabeth Craven, Baroness, 1750-1828.",,,,,5
"Cunningham, John, 1729-1773.",,,,,5
"Fielding, Henry, 1707-1754.",,,,,5
"Hardy, Thomas, 1840-1928",,,,,5
"Hoare, Prince, 1755-1834.",,,,,5
"Janeway, James, 1636?-1674.",,,,,5
"Johnstone, Charles, 1719?-1800?",,,,,5
"Jonson, Ben, 1573?-1637",,,,,5
"Kemble, John Philip, 1757-1823.",,,,,5
"London, Jack, 1876-1916",,,,,5
"Mason, William, 1719-1791.",,,,,5
"Murray, James, 1732-1782.",,,,,5
"Oldys, William, 1696-1761.",,,,,5
"Parnell, Thomas, 1679-1718.",,,,,5
"Ritson, Joseph, 1752-1803.",,,,,5
"Shiells, Robert, d. 1753.",,,,,5
"Smith, Charlotte Turner, 1749-1806.",,,,,5
"Steele, Richard, Sir, 1672-1729.",,,,,5
"Waldron, F. G. (Francis Godolphin), 1744-1818.",,,,,5
"Woolston, Thomas, 1670-1733.",,,,,5
"Akenside, Mark, 1721-1770.",,,,,4
"Barbauld, Mrs. (Anna Letitia), 1743-1825.",,,,,4
"Brand, John, 1744-1806.",,,,,4
"Collins, William, 1721-1759.",,,,,4
"Dampier, William, 1652-1715.",,,,,4
"Dow, Alexander, d. 1779.",,,,,4
"Francis, Philip, 1708?-1773.",,,,,4
"Griffith, Richard, d. 1788.",,,,,4
"Hawkins, John, Sir, 1719-1789.",,,,,4
"Hawkins, William, 1722-1801.",,,,,4
"Henry, David, 1710-1792.",,,,,4
"Hitchcock, Robert, d. 1809.",,,,,4
"Holman, J. G. (Joseph George), 1764-1817.",,,,,4
"Lillo, George, 1693-1739.",,,,,4
"Marat, Jean Paul, 1743-1793.",,,,,4
"O'Hara, Kane, 1714?-1782.",,,,,4
"Ovid, 43 B.C.-17 or 18 A.D.",,,,,4
"Pearch, G.",,,,,4
"Pilkington, Laetitia, 1712-1750.",,,,,4
"Psalmanazar, George, 1679?-1763.",,,,,4
"Reed, Joseph, 1723-1787.",,,,,4
"Shenstone, William, 1714-1763.",,,,,4
"Smith, Adam, 1723-1790.",,,,,4
"Walpole, Horace, 1717-1797.",,,,,4
"Whitehead, William, 1715-1785.",,,,,4
"Wilkinson, Tate, 1739-1803.",,,,,4
"Austen, Jane, 1775-1817",,,,,3
"Blake, William, 1757-1827",,,,,3
"Bourne, Henry, 1696-1733.",,,,,3
"Brown, Charles Brockden, 1771-1810.",,,,,3
"Burke, William, 1730-1798.",,,,,3
"Burroughs, Edgar Rice, 1875-1950",,,,,3
"Charke, Charlotte, 1713-1760.",,,,,3
"Chatterton, Thomas, 1752-1770.",,,,,3
