author_name,last_name,first_name,title,birth_date,death_date,count,fraction_total,dataset
"Defoe, Daniel, 1661?-1731",Defoe,Daniel,not_applicable,1661,1731,121,0.043808834,ota
"More, Hannah, 1745-1833",More,Hannah,not_applicable,1745,1833,69,0.024981897,ota
"Pope, Alexander, 1688-1744",Pope,Alexander,not_applicable,1688,1744,62,0.022447502,ota
"Goldsmith, Oliver, 1730?-1774",Goldsmith,Oliver,not_applicable,1730,1774,51,0.018464881,ota
(unknown),not_applicable,Unknown,not_applicable,not_applicable,not_applicable,47,0.017016655,ota
"Kipling, Rudyard, 1865-1936",Kipling,Rudyard,not_applicable,1865,1936,46,0.016654598,ota
"Trusler, John, 1735-1820",Trusler,John,not_applicable,1735,1820,44,0.015930485,ota
"Dibdin, Charles, 1745-1814",Dibdin,Charles,not_applicable,1745,1814,41,0.014844316,ota
"Pratt, Mr (Samuel Jackson), 1749-1814",Pratt,Samuel Jackson,not_applicable,1749,1814,41,0.014844316,ota
"Shakespeare, William, 1564-1616",Shakespeare,William,not_applicable,1564,1616,37,0.01339609,ota
"Holcroft, Thomas, 1745-1809",Holcroft,Thomas,not_applicable,1745,1809,34,0.01230992,ota
"Paine, Thomas, 1737-1809",Paine,Thomas,not_applicable,1737,1809,34,0.01230992,ota
"Hayley, William, 1745-1820",Hayley,William,not_applicable,1745,1820,34,0.01230992,ota
"Burke, Edmund, 1729-1797",Burke,Edmund,not_applicable,1729,1797,31,0.011223751,ota
"Sharp, Granville, 1735-1813",Sharp,Granville,not_applicable,1735,1813,29,0.010499638,ota
"O'Keeffe, John, 1747-1833",O'Keeffe,John,not_applicable,1747,1833,29,0.010499638,ota
"Addison, Joseph, 1672-1719",Addison,Joseph,not_applicable,1672,1719,29,0.010499638,ota
"Garrick, David, 1717-1779",Garrick,David,not_applicable,1717,1779,27,0.009775525,ota
"Arbuthnot, John, 1667-1735",Arbuthnot,John,not_applicable,1667,1735,27,0.009775525,ota
"Jerningham, Mr (Edward), 1737?-1812",Jerningham,Edward,not_applicable,1737,1812,26,0.009413469,ota
"Cumberland, Richard, 1732-1811",Cumberland,Richard,not_applicable,1732,1811,26,0.009413469,ota
"Kenrick, W (William), 1725?-1779",Kenrick,William,not_applicable,1725,1779,26,0.009413469,ota
"Gilpin, William, 1724-1804",Gilpin,William,not_applicable,1724,1804,26,0.009413469,ota
"Murphy, Arthur, 1727-1805",Murphy,Arthur,not_applicable,1727,1805,25,0.009051412,ota
"Lennox, Charlotte, ca 1729-1804",Lennox,Charlotte,not_applicable,1729,1804,29,0.010499638,ota
"Donovan, E (Edward), 1768-1837",Donovan,Edward,not_applicable,1768,1837,23,0.008327299,ota
"Gaskell, Elizabeth Cleghorn, 1810-1865",Gaskell,Elizabeth Cleghorn,not_applicable,1810,1865,23,0.008327299,ota
"Churchill, Charles, 1731-1764",Churchill,Charles,not_applicable,1731,1764,22,0.007965243,ota
"Richardson, Samuel, 1689-1761",Richardson,Samuel,not_applicable,1689,1761,22,0.007965243,ota
"Hume, David, 1711-1776",Hume,David,not_applicable,1711,1776,21,0.007603186,ota
"Dennis, John, 1657-1734",Dennis,John,not_applicable,1657,1734,21,0.007603186,ota
"Inchbald, Mrs, 1753-1821",Inchbald,not_applicable,Mrs,1753,1821,20,0.00724113,ota
"Francklin, Thomas, 1721-1784",Francklin,Thomas,not_applicable,1721,1784,19,0.006879073,ota
"Sheridan, Richard Brinsley, 1751-1816",Sheridan,Richard Brinsley,not_applicable,1751,1816,18,0.006517017,ota
"Dodsley, Robert, 1703-1764",Dodsley,Robert,not_applicable,1703,1764,18,0.006517017,ota
