author_name,last_name,first_name,title,birth_date,death_date,grand_total
"Defoe, Daniel, 1661?-1731",Defoe,Daniel,not_applicable,1661,1731,110
"More, Hannah, 1745-1833",More,Hannah,not_applicable,1745,1833,69
"Pope, Alexander, 1688-1744",Pope,Alexander,not_applicable,1688,1744,61
"Goldsmith, Oliver, 1730?-1774",Goldsmith,Oliver,not_applicable,1730,1774,51
(unknown),not_applicable,(unknown),not_applicable,not_applicable,not_applicable,47
"Kipling, Rudyard, 1865-1936",Kipling,Rudyard,not_applicable,1865,1936,45
"Trusler, John, 1735-1820",Trusler,John,not_applicable,1735,1820,44
"Dibdin, Charles, 1745-1814",Dibdin,Charles,not_applicable,1745,1814,41
"Pratt, Mr (Samuel Jackson), 1749-1814",Pratt,Samuel Jackson,not_applicable,1749,1814,41
"Shakespeare, William, 1564-1616",Shakespeare,William,not_applicable,1564,1616,37
"Holcroft, Thomas, 1745-1809",Holcroft,Thomas,not_applicable,1745,1809,34
"Paine, Thomas, 1737-1809",Paine,Thomas,not_applicable,1737,1809,34
"Hayley, William, 1745-1820",Hayley,William,not_applicable,1745,1820,32
"Burke, Edmund, 1729-1797",Burke,Edmund,not_applicable,1729,1797,31
"Sharp, Granville, 1735-1813",Sharp,Granville,not_applicable,1735,1813,29
"O'Keeffe, John, 1747-1833",O'Keeffe,John,not_applicable,1747,1833,29
"Addison, Joseph, 1672-1719",Addison,Joseph,not_applicable,1672,1719,29
"Garrick, David, 1717-1779",Garrick,David,not_applicable,1717,1779,27
"Arbuthnot, John, 1667-1735",Arbuthnot,John,not_applicable,1667,1735,27
"Jerningham, Mr (Edward), 1737?-1812",Jerningham,Edward,not_applicable,1737,1812,26
"Cumberland, Richard, 1732-1811",Cumberland,Richard,not_applicable,1732,1811,26
"Kenrick, W (William), 1725?-1779",Kenrick,William,not_applicable,1725,1779,26
"Gilpin, William, 1724-1804",Gilpin,William,not_applicable,1724,1804,26
"Murphy, Arthur, 1727-1805",Murphy,Arthur,not_applicable,1727,1805,25
"Lennox, Charlotte, ca 1729-1804",Lennox,Charlotte,not_applicable,1729,1804,25
"Donovan, E (Edward), 1768-1837",Donovan,Edward,not_applicable,1768,1837,23
"Gaskell, Elizabeth Cleghorn, 1810-1865",Gaskell,Elizabeth Cleghorn,not_applicable,1810,1865,23
"Churchill, Charles, 1731-1764",Churchill,Charles,not_applicable,1731,1764,22
"Richardson, Samuel, 1689-1761",Richardson,Samuel,not_applicable,1689,1761,22
"Hume, David, 1711-1776",Hume,David,not_applicable,1711,1776,21
"Dennis, John, 1657-1734",Dennis,John,not_applicable,1657,1734,21
"Inchbald, Mrs, 1753-1821",Inchbald,not_applicable,Mrs,1753,1821,20
"Francklin, Thomas, 1721-1784",Francklin,Thomas,not_applicable,1721,1784,19
"Sheridan, Richard Brinsley, 1751-1816",Sheridan,Richard Brinsley,not_applicable,1751,1816,18
"Dodsley, Robert, 1703-1764",Dodsley,Robert,not_applicable,1703,1764,18
"Centlivre, Susanna, 1667?-1723",Centlivre,Susanna,not_applicable, 1667?,1723,18
"Pennant, Thomas, 1726-1798",Pennant,Thomas,not_applicable,1726,1798,18
"Berkeley, George, 1685-1753",Berkeley,George,not_applicable,1685,1753,17
"Hill, Aaron, 1685-1750",Hill,Aaron,not_applicable,1685,1750,16
"Gentleman, Francis, 1728-1784",Gentleman,Francis,not_applicable,1728,1784,16
"Carey, Henry, 1687?-1743",Carey,Henry,not_applicable, 1687?,1743,16
"Sterne, Laurence, 1713-1768",Sterne,Laurence,not_applicable,1713,1768,16
"Bickerstaff, Isaac, 1735-1812",Bickerstaff,Isaac,not_applicable,1735,1812,15
"Griffith, Mrs (Elizabeth), 1720?-1793",Griffith,Elizabeth,Mrs, 1720?,1793,15
"Cowley, Mrs (Hannah), 1743-1809",Cowley,Hannah,Mrs,1743,1809,15
"Carey, George Saville, 1743-1807",Carey,George Saville,,1743,1807,14
"Dudley, H Bate, Sir (Henry Bate), 1745-1824",Bate,Henry,,1745,1824,14
"Jephson, Robert, 1736-1803",Jephson,Robert,,1736,1803,14
"Warton, Thomas, 1728-1790",Warton,Thomas,,1728,1790,14
"Boswell, James, 1740-1795",Boswell,James,,1740,1795,13
"Thomson, James, 1700-1748",Thomson,James,,1700,1748,13
"Brown, John, 1715-1766",Brown,John,,1715,1766,13
"Hull, Thomas, 1728-1808",Hull,Thomas,,1728,1808,13
"Fawkes, Francis, 1720-1777",Fawkes,Francis,,1720,1777,12
"Kames, Henry Home, Lord, 1696-1782",Home,Henry,,1696,1782,12
"Jones, Henry, 1721-1770",Jones,Henry,,1721,1770,12
"Francis, Philip, Sir, 1740-1818",Francis,Philip,,1740,1818,12
"Congreve, William, 1670-1729",Congreve,William,,1670,1729,12
"Mason, William, 1725-1797",Mason,William,,1725,1797,12
"Woty, William, 1731?-1791",Woty,William,, 1731?,1791,12
"Gibbon, Edward, 1737-1794",Gibbon,Edward,,1737,1794,11
"Pilon, Frederick, 1750-1788",Pilon,Frederick,,1750,1788,11
"Glover, Richard, 1712-1785",Glover,Richard,,1712,1785,11
"Gray, Thomas, 1716-1771",Gray,Thomas,,1716,1771,11
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",Leclerc,Georges-Louis,,1707,1788,10
"Macpherson, James, 1736-1796",Macpherson,James,,1736,1796,10
"Pinkerton, John, 1758-1826",Pinkerton,John,,1758,1826,10
"Duck, Stephen, 1705-1756",Duck,Stephen,,1705,1756,10
"Hutchinson, William, 1732-1814",Hutchinson,William,,1732,1814,10
"Paley, William, 1743-1805",Paley,William,,1743,1805,10
"Radcliffe, Ann Ward, 1764-1823",Radcliffe,Ann Ward,,1764,1823,9
"Defoe, Daniel, 1661?-1731,",Defoe,Daniel,, 1661?,1731,9
"James, Henry, 1843-1916",James,Henry,,1843,1916,9
"Kelly, Hugh, 1739-1777",Kelly,Hugh,,1739,1777,9
"Brand, John, d 1808",Brand,John,, d 1808,,9
"Hawkesworth, John, 1715?-1773",Hawkesworth,John,, 1715?,1773,9
"MacNally, Leonard, 1752-1820",MacNally,Leonard,,1752,1820,9
"Lloyd, Robert, 1733-1764",Lloyd,Robert,,1733,1764,9
"Cibber, Theophilus, 1703-1758",Cibber,Theophilus,,1703,1758,9
"Whiston, William, 1667-1752",Whiston,William,,1667,1752,9
"Trollope, Anthony, 1815-1882",Trollope,Anthony,,1815,1882,8
"Hutton, Charles, 1737-1823",Hutton,Charles,,1737,1823,8
"Macklin, Charles, 1697?-1797",Macklin,Charles,, 1697?,1797,8
"Cobb, James, 1756-1818",Cobb,James,,1756,1818,8
"Spence, Thomas, 1750-1814",Spence,Thomas,,1750,1814,8
"Chetwood, W R (William Rufus), d 1766",Chetwood,W R (William Rufus),, d 1766,,8
Homer,Homer,,,,,8
"Gerard, Alexander, 1728-1795",Gerard,Alexander,,1728,1795,7
"Dickens, Charles, 1812-1870",Dickens,Charles,,1812,1870,7
"Burney, Fanny, 1752-1840",Burney,Fanny,,1752,1840,7
"Stevens, George Alexander, 1710-1784",Stevens,George Alexander,,1710,1784,7
"Williams, Helen Maria, 1762-1827",Williams,Helen Maria,,1762,1827,7
"Blair, Hugh, 1718-1800",Blair,Hugh,,1718,1800,7
"Downman, Hugh, 1740-1809",Downman,Hugh,,1740,1809,7
"Aikin, John, 1747-1822",Aikin,John,,1747,1822,7
"Burgoyne, John, 1722-1792",Burgoyne,John,,1722,1792,7
"Lewis, M G (Matthew Gregory), 1775-1818",Lewis,M G (Matthew Gregory),,1775,1818,7
"Rowe, Nicholas, 1674-1718",Rowe,Nicholas,,1674,1718,7
"Morton, Thomas, 1764-1838",Morton,Thomas,,1764,1838,7
"Colman, George, 1732-1794",Colman,George,,1732,1794,6
"Eliot, George, 1819-1880",Eliot,George,,1819,1880,6
"Disraeli, Isaac, 1766-1848",Disraeli,Isaac,,1766,1848,6
"Delap, J (John), 1725-1812",Delap,J (John),,1725,1812,6
"Brown, John, 1722-1787",Brown,John,,1722,1787,6
"Home, John, 1722-1808",Home,John,,1722,1808,6
"Milton, John, 1608-1674",Milton,John,,1608,1674,6
"Twain, Mark, 1835-1910",Twain,Mark,,1835,1910,6
"Mendez, Moses, d 1758",Mendez,Moses,, d 1758,,6
"Savage, Richard, d 1743",Savage,Richard,, d 1743,,6
"Johnson, Samuel, 1709-1784",Johnson,Samuel,,1709,1784,6
"Lee, Sophia, 1750-1824",Lee,Sophia,,1750,1824,6
"Boreman, Thomas, fl 1730-1743",Boreman,Thomas,, fl 1730,1743,6
"Jefferson, Thomas, 1743-1826",Jefferson,Thomas,,1743,1826,6
"Smollett, Tobias George, 1721-1771",Smollett,Tobias George,,1721,1771,6
"Jonson, Ben, 1573?-1637",Jonson,Ben,, 1573?,1637,5
"Johnstone, Charles, 1719?-1800?",Johnstone,Charles,, 1719?,1800?,5
"Smith, Charlotte Turner, 1749-1806",Smith,Charlotte Turner,,1749,1806,5
"Craven, Elizabeth Craven, Baroness, 1750-1828",Craven,Elizabeth,,1750,1828,5
"Waldron, F G (Francis Godolphin), 1744-1818",Waldron,Francis Godolphin,,1744,1818,5
"Brooke, Frances, 1724?-1789",Brooke,Frances,, 1724?,1789,5
"Berkeley, George Monck, 1763-1793",Berkeley,George Monck,,1763,1793,5
"Brooke, Henry, 1703?-1783",Brooke,Henry,, 1703?,1783,5
"Fielding, Henry, 1707-1754",Fielding,Henry,,1707,1754,5
"London, Jack, 1876-1916",London,Jack,,1876,1916,5
"Janeway, James, 1636?-1674",Janeway,James,, 1636?,1674,5
"Murray, James, 1732-1782",Murray,James,,1732,1782,5
"Cunningham, John, 1729-1773",Cunningham,John,,1729,1773,5
"Kemble, John Philip, 1757-1823",Kemble,John Philip,,1757,1823,5
"Cradock, Joseph, 1742-1826",Cradock,Joseph,,1742,1826,5
"Ritson, Joseph, 1752-1803",Ritson,Joseph,,1752,1803,5
"Berquin, M (Arnaud), 1747-1791",Berquin,M (Arnaud),,1747,1791,5
"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705",Aulnoy,Madame d' (Marie-Catherine),, 1650 or 51,1705,5
"Andrews, Miles Peter, d 1814",Andrews,Miles Peter,, d 1814,,5
"Hoare, Prince, 1755-1834",Hoare,Prince,,1755,1834,5
"Bentley, R (Richard), 1708-1782",Bentley,R (Richard),,1708,1782,5
"Steele, Richard, Sir, 1672-1729",Steele,Richard,,1672,1729,5
"Shiells, Robert, d 1753",Shiells,Robert,, d 1753,,5
"Hardy, Thomas, 1840-1928",Hardy,Thomas,,1840,1928,5
"Parnell, Thomas, 1679-1718",Parnell,Thomas,,1679,1718,5
"Woolston, Thomas, 1670-1733",Woolston,Thomas,,1670,1733,5
"Mason, William, 1719-1791",Mason,William,,1719,1791,5
"Oldys, William, 1696-1761",Oldys,William,,1696,1761,5
"Ovid, 43 BC-17 or 18 AD",,Ovid,, 43 BC,18 AD,4
"Smith, Adam, 1723-1790",Smith,Adam,,1723,1790,4
"Dow, Alexander, d 1779",Dow,Alexander,, d 1779,,4
"Henry, David, 1710-1792",Henry,David,,1710,1792,4
"Pearch, G",Pearch,G,,,,4
"Lillo, George, 1693-1739",Lillo,George,,1693,1739,4
