author_name,last_name,first_name,title,birthdate,deathdate,,count,eebo_total,estc_total,open-syllabus_total,ota_total,project-gutenberg_total
"Defoe, Daniel, 1661?-1731.",Defoe,Daniel,, 1661?,1731,,108,,,,0.039116262,
"More, Hannah, 1745-1833.",More,Hannah,,1745,1833,,69,,,,0.024990945,
"Pope, Alexander, 1688-1744.",Pope,Alexander,,1688,1744,,61,,,,0.022093444,
"Goldsmith, Oliver, 1730?-1774.",Goldsmith,Oliver,, 1730?,1774,,51,,,,0.018471568,
(unknown),,Unknown,,,,,47,,,,0.017022818,
"Kipling, Rudyard, 1865-1936",Kipling,Rudyard,,1865,1936,,46,,,,0.01666063,
"Trusler, John, 1735-1820.",Trusler,John,,1735,1820,,44,,,,0.015936255,
"Dibdin, Charles, 1745-1814.",Dibdin,Charles,,1745,1814,,41,,,,0.014849692,
"Pratt, Mr. (Samuel Jackson), 1749-1814.",Pratt,Samuel Jackson,,1749,1814,,41,,,,0.014849692,
"Shakespeare, William, 1564-1616",Shakespeare,William,,1564,1616,,37,,,,0.013400942,
"Holcroft, Thomas, 1745-1809.",Holcroft,Thomas,,1745,1809,,34,,,,0.012314379,
"Paine, Thomas, 1737-1809.",Paine,Thomas,,1737,1809,,34,,,,0.012314379,
"Hayley, William, 1745-1820.",Hayley,William,,1745,1820,,32,,,,0.011590004,
"Burke, Edmund, 1729-1797.",Burke,Edmund,,1729,1797,,31,,,,0.011227816,
"Addison, Joseph, 1672-1719.",Addison,Joseph,,1672,1719,,29,,,,0.010503441,
"O'Keeffe, John, 1747-1833.",O'Keeffe,John,,1747,1833,,29,,,,0.010503441,
"Sharp, Granville, 1735-1813.",Sharp,Granville,,1735,1813,,29,,,,0.010503441,
"Arbuthnot, John, 1667-1735.",Arbuthnot,John,,1667,1735,,27,,,,0.009779066,
"Garrick, David, 1717-1779.",Garrick,David,,1717,1779,,27,,,,0.009779066,
"Cumberland, Richard, 1732-1811.",Cumberland,Richard,,1732,1811,,26,,,,0.009416878,
"Gilpin, William, 1724-1804.",Gilpin,William,,1724,1804,,26,,,,0.009416878,
"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham,Edward,, 1737?,1812,,26,,,,0.009416878,
"Kenrick, W. (William), 1725?-1779.",Kenrick,William,, 1725?,1779,,26,,,,0.009416878,
"Lennox, Charlotte, ca. 1729-1804.",Lennox,Charlotte,,1729,1804,,25,,,,0.00905469,
"Murphy, Arthur, 1727-1805.",Murphy,Arthur,,1727,1805,,25,,,,0.00905469,
"Donovan, E. (Edward), 1768-1837.",Donovan,Edward,,1768,1837,,23,,,,0.008330315,
"Gaskell, Elizabeth Cleghorn, 1810-1865",Gaskell,Elizabeth Cleghorn,,1810,1865,,23,,,,0.008330315,
"Churchill, Charles, 1731-1764.",Churchill,Charles,,1731,1764,,22,,,,0.007968127,
"Richardson, Samuel, 1689-1761.",Richardson,Samuel,,1689,1761,,22,,,,0.007968127,
"Dennis, John, 1657-1734.",Dennis,John,,1657,1734,,21,,,,0.00760594,
"Hume, David, 1711-1776.",Hume,David,,1711,1776,,21,,,,0.00760594,
"Inchbald, Mrs., 1753-1821.",Inchbald,,Mrs,1753,1821,,20,,,,0.007243752,
"Francklin, Thomas, 1721-1784.",Francklin,Thomas,,1721,1784,,19,,,,0.006881565,
"Centlivre, Susanna, 1667?-1723.",Centlivre,Susanna,, 1667?,1723,,18,,,,0.006519377,
"Dodsley, Robert, 1703-1764.",Dodsley,Robert,,1703,1764,,18,,,,0.006519377,
"Pennant, Thomas, 1726-1798.",Pennant,Thomas,,1726,1798,,18,,,,0.006519377,
