author_name,last_name,first_name,title,birthdate,deathdate,,count,fraction_total,dataset
"Defoe, Daniel, 1661?-1731.",Defoe,Daniel,not_applicable, 1661?,1731,,108,0.039116262,ota
"More, Hannah, 1745-1833.",More,Hannah,not_applicable,1745,1833,,69,0.024990945,ota
"Pope, Alexander, 1688-1744.",Pope,Alexander,not_applicable,1688,1744,,61,0.022093444,ota
"Goldsmith, Oliver, 1730?-1774.",Goldsmith,Oliver,not_applicable, 1730?,1774,,51,0.018471568,ota
(unknown),not_applicable,Unknown,not_applicable,,,,47,0.017022818,ota
"Kipling, Rudyard, 1865-1936",Kipling,Rudyard,not_applicable,1865,1936,,46,0.01666063,ota
"Trusler, John, 1735-1820.",Trusler,John,not_applicable,1735,1820,,44,0.015936255,ota
"Dibdin, Charles, 1745-1814.",Dibdin,Charles,not_applicable,1745,1814,,41,0.014849692,ota
"Pratt, Mr. (Samuel Jackson), 1749-1814.",Pratt,Samuel Jackson,not_applicable,1749,1814,,41,0.014849692,ota
"Shakespeare, William, 1564-1616",Shakespeare,William,not_applicable,1564,1616,,37,0.013400942,ota
"Holcroft, Thomas, 1745-1809.",Holcroft,Thomas,not_applicable,1745,1809,,34,0.012314379,ota
"Paine, Thomas, 1737-1809.",Paine,Thomas,not_applicable,1737,1809,,34,0.012314379,ota
"Hayley, William, 1745-1820.",Hayley,William,not_applicable,1745,1820,,32,0.011590004,ota
"Burke, Edmund, 1729-1797.",Burke,Edmund,not_applicable,1729,1797,,31,0.011227816,ota
"Addison, Joseph, 1672-1719.",Addison,Joseph,not_applicable,1672,1719,,29,0.010503441,ota
"O'Keeffe, John, 1747-1833.",O'Keeffe,John,not_applicable,1747,1833,,29,0.010503441,ota
"Sharp, Granville, 1735-1813.",Sharp,Granville,not_applicable,1735,1813,,29,0.010503441,ota
"Arbuthnot, John, 1667-1735.",Arbuthnot,John,not_applicable,1667,1735,,27,0.009779066,ota
"Garrick, David, 1717-1779.",Garrick,David,not_applicable,1717,1779,,27,0.009779066,ota
"Cumberland, Richard, 1732-1811.",Cumberland,Richard,not_applicable,1732,1811,,26,0.009416878,ota
"Gilpin, William, 1724-1804.",Gilpin,William,not_applicable,1724,1804,,26,0.009416878,ota
"Jerningham, Mr. (Edward), 1737?-1812.",Jerningham,Edward,not_applicable, 1737?,1812,,26,0.009416878,ota
"Kenrick, W. (William), 1725?-1779.",Kenrick,William,not_applicable, 1725?,1779,,26,0.009416878,ota
"Lennox, Charlotte, ca. 1729-1804.",Lennox,Charlotte,not_applicable,1729,1804,,25,0.00905469,ota
"Murphy, Arthur, 1727-1805.",Murphy,Arthur,not_applicable,1727,1805,,25,0.00905469,ota
"Donovan, E. (Edward), 1768-1837.",Donovan,Edward,not_applicable,1768,1837,,23,0.008330315,ota
"Gaskell, Elizabeth Cleghorn, 1810-1865",Gaskell,Elizabeth Cleghorn,not_applicable,1810,1865,,23,0.008330315,ota
"Churchill, Charles, 1731-1764.",Churchill,Charles,not_applicable,1731,1764,,22,0.007968127,ota
"Richardson, Samuel, 1689-1761.",Richardson,Samuel,not_applicable,1689,1761,,22,0.007968127,ota
"Dennis, John, 1657-1734.",Dennis,John,not_applicable,1657,1734,,21,0.00760594,ota
"Hume, David, 1711-1776.",Hume,David,,1711,1776,,21,0.00760594,ota
"Inchbald, Mrs., 1753-1821.",Inchbald,,Mrs,1753,1821,,20,0.007243752,ota
"Francklin, Thomas, 1721-1784.",Francklin,Thomas,,1721,1784,,19,0.006881565,ota
"Centlivre, Susanna, 1667?-1723.",Centlivre,Susanna,, 1667?,1723,,18,0.006519377,ota
"Dodsley, Robert, 1703-1764.",Dodsley,Robert,,1703,1764,,18,0.006519377,ota
"Pennant, Thomas, 1726-1798.",Pennant,Thomas,,1726,1798,,18,0.006519377,ota
"Sheridan, Richard Brinsley, 1751-1816.",Sheridan,Richard Brinsley,,1751,1816,,18,0.006519377,ota
"Berkeley, George, 1685-1753.",Berkeley,George,,1685,1753,,17,0.006157189,ota
"Carey, Henry, 1687?-1743.",Carey,Henry,, 1687?,1743,,16,0.005795002,ota
"Gentleman, Francis, 1728-1784.",Gentleman,Francis,,1728,1784,,16,0.005795002,ota
"Hill, Aaron, 1685-1750.",Hill,Aaron,,1685,1750,,16,0.005795002,ota
"Sterne, Laurence, 1713-1768.",Sterne,Laurence,,1713,1768,,16,0.005795002,ota
"Bickerstaff, Isaac, 1735-1812.",Bickerstaff,Isaac,,1735,1812,,15,0.005432814,ota
"Cowley, Mrs. (Hannah), 1743-1809.",Cowley,Hannah,Mrs,1743,1809,,15,0.005432814,ota
"Griffith, Mrs. (Elizabeth), 1720?-1793.",Griffith,Elizabeth,Mrs, 1720?,1793,,15,0.005432814,ota
"Carey, George Saville, 1743-1807.",Carey,George Saville,,1743,1807,,14,0.005070627,ota
"Dudley, H. Bate, Sir (Henry Bate), 1745-1824.",Dudley,Henry Bate,,1745,1824,,14,0.005070627,ota
"Jephson, Robert, 1736-1803.",Jephson,Robert,,1736,1803,,14,0.005070627,ota
"Warton, Thomas, 1728-1790.",Warton,Thomas,,1728,1790,,14,0.005070627,ota
"Boswell, James, 1740-1795.",Boswell,James,,1740,1795,,13,0.004708439,ota
"Brown, John, 1715-1766.",Brown,John,,1715,1766,,13,0.004708439,ota
"Hull, Thomas, 1728-1808.",Hull,Thomas,,1728,1808,,13,0.004708439,ota
"Thomson, James, 1700-1748.",Thomson,James,,1700,1748,,13,0.004708439,ota
"Congreve, William, 1670-1729.",Congreve,William,,1670,1729,,12,0.004346251,ota
"Fawkes, Francis, 1720-1777.",Fawkes,Francis,,1720,1777,,12,0.004346251,ota
"Francis, Philip, Sir, 1740-1818.",Francis,Philip,,1740,1818,,12,0.004346251,ota
"Jones, Henry, 1721-1770.",Jones,Henry,,1721,1770,,12,0.004346251,ota
"Kames, Henry Home, Lord, 1696-1782.",Kames,Henry Home,,1696,1782,,12,0.004346251,ota
"Mason, William, 1725-1797.",Mason,William,,1725,1797,,12,0.004346251,ota
"Woty, William, 1731?-1791.",Woty,William,,1731?,1791,,12,0.004346251,ota
"Defoe, Daniel, attributed name. 1661?-1731,",Defoe,Daniel,,1661?,1731,,11,0.003984064,ota
"Gibbon, Edward, 1737-1794.",Gibbon,Edward,,1737,1794,,11,0.003984064,ota
"Glover, Richard, 1712-1785.",Glover,Richard,,1712,1785,,11,0.003984064,ota
"Gray, Thomas, 1716-1771.",Gray,Thomas,,1716,1771,,11,0.003984064,ota
"Pilon, Frederick, 1750-1788.",Pilon,Frederick,,1750,1788,,11,0.003984064,ota
"Buffon, Georges Louis Leclerc, comte de, 1707-1788.",Leclerc,Georges-Louis,,1707,1788,,10,0.003621876,ota
"Duck, Stephen, 1705-1756.",Duck,Stephen,,1705,1756,,10,0.003621876,ota
"Hutchinson, William, 1732-1814.",Hutchinson,William,,1732,1814,,10,0.003621876,ota
"Macpherson, James, 1736-1796.",Macpherson,James,,1736,1796,,10,0.003621876,ota
"Paley, William, 1743-1805.",Paley,William,,1743,1805,,10,0.003621876,ota
"Pinkerton, John, 1758-1826.",Pinkerton,John,,1758,1826,,10,0.003621876,ota
"Brand, John, d. 1808.",Brand,John,,,1808,,9,0.003259689,ota
"Cibber, Theophilus, 1703-1758.",Cibber,Theophilus,,1703,1758,,9,0.003259689,ota
"Hawkesworth, John, 1715?-1773.",Hawkesworth,John,, 1715?,1773,,9,0.003259689,ota
"James, Henry, 1843-1916",James,Henry,,1843,1916,,9,0.003259689,ota
"Kelly, Hugh, 1739-1777.",Kelly,Hugh,,1739,1777,,9,0.003259689,ota
"Lloyd, Robert, 1733-1764.",Lloyd,Robert,,1733,1764,,9,0.003259689,ota
"MacNally, Leonard, 1752-1820.",MacNally,Leonard,,1752,1820,,9,0.003259689,ota
"Radcliffe, Ann Ward, 1764-1823.",Radcliffe,Ann Ward,,1764,1823,,9,0.003259689,ota
"Whiston, William, 1667-1752.",Whiston,William,,1667,1752,,9,0.003259689,ota
"Chetwood, W. R. (William Rufus), d. 1766.",Chetwood,W. R. (William Rufus),,,1766,,8,0.002897501,ota
"Cobb, James, 1756-1818.",Cobb,James,,1756,1818,,8,0.002897501,ota
Homer.,Homer.,,,,,,8,0.002897501,ota
"Hutton, Charles, 1737-1823.",Hutton,Charles,,1737,1823,,8,0.002897501,ota
"Macklin, Charles, 1697?-1797.",Macklin,Charles,, 1697?,1797,,8,0.002897501,ota
"Spence, Thomas, 1750-1814.",Spence,Thomas,,1750,1814,,8,0.002897501,ota
"Trollope, Anthony, 1815-1882",Trollope,Anthony,,1815,1882,,8,0.002897501,ota
"Aikin, John, 1747-1822.",Aikin,John,,1747,1822,,7,0.002535313,ota
"Blair, Hugh, 1718-1800.",Blair,Hugh,,1718,1800,,7,0.002535313,ota
"Burgoyne, John, 1722-1792.",Burgoyne,John,,1722,1792,,7,0.002535313,ota
"Burney, Fanny, 1752-1840.",Burney,Fanny,,1752,1840,,7,0.002535313,ota
"Dickens, Charles, 1812-1870",Dickens,Charles,,1812,1870,,7,0.002535313,ota
"Downman, Hugh, 1740-1809.",Downman,Hugh,,1740,1809,,7,0.002535313,ota
"Gerard, Alexander, 1728-1795.",Gerard,Alexander,,1728,1795,,7,0.002535313,ota
"Lewis, M. G. (Matthew Gregory), 1775-1818.",Lewis,M. G. (Matthew Gregory),,1775,1818,,7,0.002535313,ota
"Morton, Thomas, 1764-1838.",Morton,Thomas,,1764,1838,,7,0.002535313,ota
"Rowe, Nicholas, 1674-1718.",Rowe,Nicholas,,1674,1718,,7,0.002535313,ota
"Stevens, George Alexander, 1710-1784.",Stevens,George Alexander,,1710,1784,,7,0.002535313,ota
"Williams, Helen Maria, 1762-1827.",Williams,Helen Maria,,1762,1827,,7,0.002535313,ota
"Boreman, Thomas, fl. 1730-1743.",Boreman,Thomas,, fl. 1730,1743,,6,0.002173126,ota
"Brown, John, 1722-1787.",Brown,John,,1722,1787,,6,0.002173126,ota
"Colman, George, 1732-1794.",Colman,George,,1732,1794,,6,0.002173126,ota
"Delap, J. (John), 1725-1812.",Delap,J. (John),,1725,1812,,6,0.002173126,ota
"Disraeli, Isaac, 1766-1848.",Disraeli,Isaac,,1766,1848,,6,0.002173126,ota
"Eliot, George, 1819-1880",Eliot,George,,1819,1880,,6,0.002173126,ota
"Home, John, 1722-1808.",Home,John,,1722,1808,,6,0.002173126,ota
"Jefferson, Thomas, 1743-1826",Jefferson,Thomas,,1743,1826,,6,0.002173126,ota
