author,birthdate,deathdate,count
"Jefferson, Thomas",1743,1826,1
United States,no_birthdate,no_deathdate,1
"Kennedy, John F. (John Fitzgerald)",1917,1963,1
"Lincoln, Abraham",1809,1865,1
United States,no_birthdate,no_deathdate,1
"Henry, Patrick",1736,1799,1
"Lincoln, Abraham",1809,1865,1
"Lincoln, Abraham",1809,1865,1
"Carroll, Lewis",1832,1898,1
"Carroll, Lewis",1832,1898,1
"Carroll, Lewis",1832,1898,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Melville, Herman",1819,1891,1
"Barrie, J. M. (James Matthew)",1860,1937,1
"Smith, Joseph, Jr.",1805,1844,1
Church of Jesus Christ of Latter-day Saints,no_birthdate,no_deathdate,1
"Jay, John",1745,1829,1
"Hamilton, Alexander",1757,1804,1
"Madison, James",1751,1836,1
"Longfellow, Henry Wadsworth",1807,1882,1
"Milton, John",1608,1674,1
Aesop,no_birthdate,no_deathdate,1
"Roget, Peter Mark",1779,1869,1
"Douglass, Frederick",1818,1895,1
"Cather, Willa",1873,1947,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Milton, John",1608,1674,1
"Hardy, Thomas",1840,1928,1
Aesop,no_birthdate,no_deathdate,1
United States. Bureau of the Census,no_birthdate,no_deathdate,1
Sophocles,-496,-406,1
"Gilman, Charlotte Perkins",1860,1935,1
"Hawthorne, Nathaniel",1804,1864,1
"Kehoe, Brendan P.",1970,2011,1
"Wells, H. G. (Herbert George)",1866,1946,1
"Wells, H. G. (Herbert George)",1866,1946,1
United States. Bureau of the Census,no_birthdate,no_deathdate,1
"Krol, Ed",1951,no_deathdate,1
"Kochmer, Jonathan",no_birthdate,no_deathdate,1
"Irving, Washington",1783,1859,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Cather, Willa",1873,1947,1
"Montgomery, L. M. (Lucy Maud)",1874,1942,1
"Dickens, Charles",1812,1870,1
"Montgomery, L. M. (Lucy Maud)",1874,1942,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Polly, Jean Armour",no_birthdate,no_deathdate,1
"Hemphill, Scott",no_birthdate,no_deathdate,1
"Montgomery, L. M. (Lucy Maud)",1874,1942,1
"Kerr, Stan",no_birthdate,no_deathdate,1
Library of Congress,no_birthdate,no_deathdate,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Baum, L. Frank (Lyman Frank)",1856,1919,1
"Polly, Jean Armour",no_birthdate,no_deathdate,1
Unknown,no_birthdate,no_deathdate,1
"Milton, John",1608,1674,1
"Descartes, René",1596,1650,1
"Orczy, Emmuska Orczy, Baroness",1865,1947,1
"Engels, Friedrich",1820,1895,1
"Marx, Karl",1818,1883,1
"Burroughs, Edgar Rice",1875,1950,1
Unknown,no_birthdate,no_deathdate,1
"Burroughs, Edgar Rice",1875,1950,1
Unknown,no_birthdate,no_deathdate,1
"Joly, Norman F.",no_birthdate,no_deathdate,1
"Coombs, Norman",1932,no_deathdate,1
"Burroughs, Edgar Rice",1875,1950,1
"Slowinski, David",no_birthdate,no_deathdate,1
"Twain, Mark",1835,1910,1
"Thoreau, Henry David",1817,1862,1
"Burroughs, Edgar Rice",1875,1950,1
"Crane, Stephen",1871,1900,1
"Twain, Mark",1835,1910,1
"Goodwin, John E.",no_birthdate,no_deathdate,1
"Twain, Mark",1835,1910,1
"Hawthorne, Nathaniel",1804,1864,1
"Burroughs, Edgar Rice",1875,1950,1
"Schwartau, Winn",1952,no_deathdate,1
"De Presno, Odd",1944,no_deathdate,1
"Burroughs, Edgar Rice",1875,1950,1
"Scott, Walter",1771,1832,1
"Verne, Jules",1828,1905,1
"Shelley, Mary Wollstonecraft",1797,1851,1
"Burroughs, Edgar Rice",1875,1950,1
"Twain, Mark",1835,1910,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Hart, Michael",1947,2011,1
Canada,no_birthdate,no_deathdate,1
"Burroughs, Edgar Rice",1875,1950,1
"Twain, Mark",1835,1910,1
"Burroughs, Edgar Rice",1875,1950,1
"Twain, Mark",1835,1910,1
"Cather, Willa",1873,1947,1
"Hope, Anthony",1863,1933,1
"Burroughs, Edgar Rice",1875,1950,1
"Abbott, Edwin Abbott",1838,1926,1
"Dickens, Charles",1812,1870,1
"Douglass, Frederick",1818,1895,1
"Shakespeare, William",1564,1616,1
"Sterling, Bruce",1954,no_deathdate,1
"Twain, Mark",1835,1910,1
"Verne, Jules",1828,1905,1
"Roosevelt, Franklin D. (Franklin Delano)",1882,1945,1
"Austen, Jane",1775,1817,1
"Burroughs, Edgar Rice",1875,1950,1
"Hardy, Thomas",1840,1928,1
"Doyle, Arthur Conan",1859,1930,1
"Millay, Edna St. Vincent",1892,1950,1
"Hardy, Thomas",1840,1928,1
"Stratton-Porter, Gene",1863,1924,1
"McGowan, Richard",1958,no_deathdate,1
"Burnett, Frances Hodgson",1849,1924,1
"Tenniel, John",1820,1914,1
United States. Bureau of the Census,no_birthdate,no_deathdate,1
United States,no_birthdate,no_deathdate,1
"Beethoven, Ludwig van",1770,1827,1
Electronic Frontier Foundation,no_birthdate,no_deathdate,1
"Twain, Mark",1835,1910,1
"Stevenson, Robert Louis",1850,1894,1
"Austen, Jane",1775,1817,1
"Hardy, Thomas",1840,1928,1
"Burroughs, Edgar Rice",1875,1950,1
Anonymous,no_birthdate,no_deathdate,1
"Stratton-Porter, Gene",1863,1924,1
"Doyle, Arthur Conan",1859,1930,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Lang, Andrew",1844,1912,1
"Bonnell, Jerry T.",no_birthdate,no_deathdate,1
"Nemiroff, Robert J.",no_birthdate,no_deathdate,1
"Chesterton, G. K. (Gilbert Keith)",1874,1936,1
"Bunyan, John",1628,1688,1
"Sunzi, active 6th century B.C.",no_birthdate,no_deathdate,1
"Frederic, Harold",1856,1898,1
"Wollstonecraft, Mary",1759,1797,1
"Hugo, Victor",1802,1885,1
"Stevenson, Robert Louis",1850,1894,1
"Burnett, Frances Hodgson",1849,1924,1
"Doumic, René",1860,1937,1
"Doyle, Arthur Conan",1859,1930,1
"Sinclair, Upton",1878,1968,1
"Austen, Jane",1775,1817,1
"Twain, Mark",1835,1910,1
"Hardy, Thomas",1840,1928,1
"Woolf, Virginia",1882,1941,1
"Eliot, George",1819,1880,1
"Burnett, Frances Hodgson",1849,1924,1
"Paine, Thomas",1737,1809,1
"Franklin, Benjamin",1706,1790,1
"Burroughs, Edgar Rice",1875,1950,1
Plato,-428,-348,1
"Coleridge, Samuel Taylor",1772,1834,1
"Sprague, Ruth M.",no_birthdate,no_deathdate,1
"Hardy, Thomas",1840,1928,1
"Howells, William Dean",1837,1920,1
"Collins, Wilkie",1824,1889,1
"Beethoven, Ludwig van",1770,1827,1
"Webster, Jean",1876,1916,1
"Austen, Jane",1775,1817,1
"Wells, H. G. (Herbert George)",1866,1946,1
"Chopin, Kate",1850,1904,1
"Austen, Jane",1775,1817,1
"Laxer, Mark E.",no_birthdate,no_deathdate,1
"Alcott, Louisa May",1832,1888,1
"Verne, Jules",1828,1905,1
"Norris, Frank",1870,1902,1
"Wharton, Edith",1862,1937,1
"Humphrey, S. D. (Samuel Dwight)",1823,1883,1
"Snelling, Henry Hunt",1816,1897,1
"Morris, William",1834,1896,1
"Collins, Wilkie",1824,1889,1
"Rowson, Mrs.",1762,1824,1
"Morley, Christopher",1890,1957,1
"Rohmer, Sax",1883,1959,1
"Wilde, Oscar",1854,1900,1
"Leroux, Gaston",1868,1927,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
United States. Central Intelligence Agency,no_birthdate,no_deathdate,1
"Perathoner, Marcello",no_birthdate,no_deathdate,1
Project Gutenberg,no_birthdate,no_deathdate,1
"Abbott, Edwin Abbott",1838,1926,1
"Douglass, Frederick",1818,1895,1
"Stowe, Harriet Beecher",1811,1896,1
"Chesterton, G. K. (Gilbert Keith)",1874,1936,1
"Thoreau, Henry David",1817,1862,1
Various,no_birthdate,no_deathdate,1
"Service, Robert W. (Robert William)",1874,1958,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
"James, Henry",1843,1916,1
Unknown,no_birthdate,no_deathdate,1
"Paterson, A. B. (Andrew Barton)",1864,1941,1
"Lawson, Henry",1867,1922,1
"London, Jack",1876,1916,1
Laozi,no_birthdate,no_deathdate,1
"Lawrence, D. H. (David Herbert)",1885,1930,1
"Caesar, Julius",-100,-44,1
"Conrad, Joseph",1857,1924,1
"Conrad, Joseph",1857,1924,1
"Doyle, Arthur Conan",1859,1930,1
"Maugham, W. Somerset (William Somerset)",1874,1965,1
"Chesterton, G. K. (Gilbert Keith)",1874,1936,1
"Hardy, Thomas",1840,1928,1
"MacDonald, George",1824,1905,1
"Cicero, Marcus Tullius",-106,-43,1
Virgil,-70,-19,1
Virgil,-70,-19,1
Virgil,-70,-19,1
Virgil,-70,-19,1
Virgil,-70,-19,1
Virgil,-70,-19,1
"Dreiser, Theodore",1871,1945,1
"Morris, William",1834,1896,1
"Salza, Giuseppe",no_birthdate,no_deathdate,1
"Kipling, Rudyard",1865,1936,1
"Propertius, Sextus",no_birthdate,no_deathdate,1
"Webster, Jean",1876,1916,1
United States,no_birthdate,no_deathdate,1
"Harris, Robert A. (Robert Alan)",1950,no_deathdate,1
"Brown, William Wells",no_birthdate,1884,1
"Cather, Willa",1873,1947,1
"Tolstoy, Leo, graf",1828,1910,1
"Doyle, Arthur Conan",1859,1930,1
"Twain, Mark",1835,1910,1
Omar Khayyam,1048,1122,1
"Webster, Noah",1758,1843,1
"Webster, Noah",1758,1843,1
"Hart, Michael",1947,2011,1
"Fuller, Maxwell",no_birthdate,no_deathdate,1
United States,no_birthdate,no_deathdate,1
Library of Congress. Copyright Office,no_birthdate,no_deathdate,1
United States,no_birthdate,no_deathdate,1
Coalition for Networked Information,no_birthdate,no_deathdate,1
Unknown,no_birthdate,no_deathdate,1
"Scavezze, Dan",no_birthdate,no_deathdate,1
United States,no_birthdate,no_deathdate,1
"Chaucer, Geoffrey",1342,1400,1
"Gordon, Adam Lindsay",1833,1870,1
"Service, Robert W. (Robert William)",1874,1958,1
"Browning, Robert",1812,1889,1
"Corson, Hiram",1828,1911,1
"Lowell, Amy",1874,1925,1
"Brooke, Rupert",1887,1915,1
"Kilmer, Joyce",1886,1918,1
"Kilmer, Joyce",1886,1918,1
"Gower, John",no_birthdate,1408,1
"Wharton, Edith",1862,1937,1
"Norris, Frank",1870,1902,1
Saki,1870,1916,1
"Grahame, Kenneth",1859,1932,1
"Sewell, Anna",1820,1878,1
"Luther, Martin",1483,1546,1
"Luther, Martin",1483,1546,1
"Luther, Martin",1483,1546,1
"Melanchthon, Philipp",1497,1560,1
"Haydn, Joseph",1732,1809,1
National Atomic Museum (U.S.),no_birthdate,no_deathdate,1
White Sands Missile Range (N.M.). Public Affairs Office,no_birthdate,no_deathdate,1
"Stevenson, Robert Louis",1850,1894,1
"Stevenson, Robert Louis",1850,1894,1
"Kinglake, Alexander William",1809,1891,1
"Wharton, Edith",1862,1937,1
"Wharton, Edith",1862,1937,1
"Hyne, Charles John Cutcliffe Wright",1866,1944,1
"Stratton-Porter, Gene",1863,1924,1
"Barr, Amelia E.",1831,1919,1
"Cabell, James Branch",1879,1958,1
"Grahame, Kenneth",1859,1932,1
"Doyle, Arthur Conan",1859,1930,1
"Grahame, Kenneth",1859,1932,1
"Taylor, Bayard",1825,1878,1
"Alger, Horatio, Jr.",1832,1899,1
"Doyle, Arthur Conan",1859,1930,1
"Wharton, Edith",1862,1937,1
"Alger, Horatio, Jr.",1832,1899,1
"Tarkington, Booth",1869,1946,1
"Frederic, Harold",1856,1898,1
"Boyesen, Hjalmar Hjorth",1848,1895,1
"Jefferson, Thomas",1743,1826,1
"Wilde, Oscar",1854,1900,1
"Husted, Michael",no_birthdate,no_deathdate,1
Anonymous,no_birthdate,no_deathdate,1
"Paterson, A. B. (Andrew Barton)",1864,1941,1
"Gaboriau, Emile",1832,1873,1
"Wharton, Edith",1862,1937,1
"Paterson, A. B. (Andrew Barton)",1864,1941,1
"Jerome, Jerome K. (Jerome Klapka)",1859,1927,1
"Service, Robert W. (Robert William)",1874,1958,1
"London, Jack",1876,1916,1
"Wharton, Edith",1862,1937,1
"Benét, Stephen Vincent",1898,1943,1
"Robinson, Edwin Arlington",1869,1935,1
"Dobie, J. Frank (James Frank)",1888,1964,1
"Service, Robert W. (Robert William)",1874,1958,1
"Montgomery, L. M. (Lucy Maud)",1874,1942,1
"Drake, Joseph Rodman",1795,1820,1
"London, Jack",1876,1916,1
"Gregory, Eliot",1854,1915,1
Anonymous,no_birthdate,no_deathdate,1
"Norris, Frank",1870,1902,1
"Stevenson, Robert Louis",1850,1894,1
"Kipling, Rudyard",1865,1936,1
"Fox, John, Jr.",1862,1919,1
"MacDonald, George",1824,1905,1
"Muir, John",1838,1914,1
"Davis, Richard Harding",1864,1916,1
"Guest, Edgar A. (Edgar Albert)",1881,1959,1
"Stevenson, Robert Louis",1850,1894,1
"Rinehart, Mary Roberts",1876,1958,1
"Burroughs, Edgar Rice",1875,1950,1
"Page, Thomas Nelson",1853,1922,1
"Raleigh, Walter Alexander, Sir",1861,1922,1
"Davis, Richard Harding",1864,1916,1
"Davis, Rebecca Harding",1831,1910,1
"Eastman, Charles A.",1858,1939,1
"Eastman, Charles A.",1858,1939,1
Zitkala-Sa,1876,1938,1
"Eastman, Charles A.",1858,1939,1
"Eastman, Charles A.",1858,1939,1
"McLaughlin, Marie L.",1842,no_deathdate,1
"Barrie, J. M. (James Matthew)",1860,1937,1
