author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total,
"Buckingham and Chandos, Richard Plantagenet Temple Nugent Brydges Chandos Grenville, Duke of",Temple-Nugent-Brydges-Chandos-Grenville,Richard Plantagenet,,1797,1861,3,4.96261E-05,
"Dawson, John William, Sir",Dawson,John William,,1820,1899,8,0.000132336,
Various,,Various,,no_birthdate,no_deathdate,3469,0.057384371,
Anonymous,,Anonymous,,no_birthdate,no_deathdate,755,0.012489248,
"Shakespeare, William",Shakespeare,William,,1564,1616,327,0.00540925,
"Twain, Mark",Twain,Mark,,1835,1910,225,0.003721961,
"Lytton, Edward Bulwer Lytton, Baron",Lytton,Edward Bulwer,,1803,1873,221,0.003655793,
"Dickens, Charles",Dickens,Charles,,1812,1870,183,0.003027195,
"Ebers, Georg",Ebers,Georg,,1837,1898,172,0.002845233,
"Verne, Jules",Verne,Jules,,1828,1905,165,0.002729438,
"Balzac, Honoré de",Balzac,Honoré de,,1799,1850,149,0.002464765,
"Dumas, Alexandre",Dumas,Alexandre,,1802,1870,142,0.002348971,
Unknown,,Unknown,,no_birthdate,no_deathdate,141,0.002332429,
"Parker, Gilbert",Parker,Gilbert,,1862,1932,134,0.002216635,
"Doyle, Arthur Conan",Doyle,Arthur Conan,,1859,1930,133,0.002200093,
"Kingston, William Henry Giles",Kingston,William Henry Giles,,1814,1880,133,0.002200093,
"Fenn, George Manville",Fenn,George Manville,,1831,1909,128,0.002117382,
"Jacobs, W. W. (William Wymark)",Jacobs,William Wymark,,1863,1943,112,0.00185271,
"Meredith, George",Meredith,George,,1828,1909,111,0.001836168,
"Henty, G. A. (George Alfred)",Henty,George Alfred,,1832,1902,109,0.001803083,
"Howells, William Dean",Howells,William Dean,,1837,1920,109,0.001803083,
"Alger, Horatio, Jr.",Alger Jr.,Horatio,,1832,1899,108,0.001786541,
"Jókai, Mór",Jókai,Mór,,1825,1904,107,0.001769999,
"Stevenson, Robert Louis",Stevenson,Robert Louis,,1850,1894,107,0.001769999,
"Motley, John Lothrop",Motley,John Lothrop,,1814,1877,103,0.001703831,
"London, Jack",London,Jack,,1876,1916,102,0.001687289,
"Hawthorne, Nathaniel",Hawthorne,Nathaniel,,1804,1864,101,0.001670747,
"Ballantyne, R. M. (Robert Michael)",Ballantyne,Robert Michael,,1825,1894,100,0.001654205,
"Wells, H. G. (Herbert George)",Wells,Herbert Gorge,,1866,1946,99,0.001637663,
"Zola, Émile",Zola,Émile,,1840,1902,97,0.001604579,
"Baum, L. Frank (Lyman Frank)",Baum,Lyman Frank,,1856,1919,97,0.001604579,
"Scott, Walter",Scott,Walter,,1771,1832,95,0.001571495,
"Oliphant, Mrs. (Margaret)",Oliphant,Margaret,Mrs,1828,1897,94,0.001554953,
"Tolstoy, Leo, graf",Tolstoy,Leo,,1828,1910,88,0.0014557,
"Pepys, Samuel",Pepys,Samuel,,1633,1703,87,0.001439158,
"Trollope, Anthony",Trollope,Anthony,,1815,1882,85,0.001406074,
"James, Henry",James,Henry,,1843,1916,85,0.001406074,
"Lang, Andrew",Lang,Andrew,,1844,1912,81,0.001339906,
"Goethe, Johann Wolfgang von",Goethe,Johann Wolfgang von,,1749,1832,81,0.001339906,
"Stratemeyer, Edward",Stratemeyer,Edward,,1862,1930,79,0.001306822,
"Sand, George",Sand,George,,1804,1876,77,0.001273738,
"Defoe, Daniel",Defoe,Daniel,,no_birthdate,1731,75,0.001240654,
"Le Queux, William",Le Queux,William,,1864,1927,75,0.001240654,
"Churchill, Winston",Churchill,Winston,,1871,1947,75,0.001240654,
Library of Congress. Copyright Office,Library of Congress.,Copyright Office,,no_birthdate,no_deathdate,75,0.001240654,
"Maupassant, Guy de",Maupassant,Guy de,,1850,1893,74,0.001224112,
"Kipling, Rudyard",Kipling,Rudyard,,1865,1936,73,0.00120757,
Human Genome Project,Human Genome Project,Human Genome Project,,no_birthdate,no_deathdate,73,0.00120757,
"Conrad, Joseph",Conrad,Joseph,,1857,1924,72,0.001191028,
"MacDonald, George",MacDonald,George,,1824,1905,71,0.001174486,
"Haggard, H. Rider (Henry Rider)",Haggard,Henry Rider,,1856,1925,68,0.001124859,
"Hope, Laura Lee",Hope,Laura Lee,,no_birthdate,no_deathdate,67,0.001108317,
"Thackeray, William Makepeace",Thackeray,William Makepeace,,1811,1863,67,0.001108317,
