author_name,title_count
"Wolfensberger, Arnold",1
"Shenstone, W. A.",1
"Cooper, Grace Rogers",1
"Beeton, Mrs. (Isabella Mary), 1836-1865",1
"Campbell, Mark, 19th cent.",1
"Wheeler, Candace, 1827-1923",1
Anonymous,1
"Barrillon, FranÁois-Guillaume",1
Anonymous,1
"Campbell, Alexander, 1822-1892",1
"Graffigny, H. de (Henry), 1863-1934",1
"Brine, Mary D. (Mary Dow)",1
"Gilson, Charles, 1878-1943",1
"Hearne, Samuel, 1745-1792",1
"Burpee, Lawrence J. (Lawrence Johnstone), 1873-1946",1
"Train, George Francis",1
"Glazier, Willard W., 1841-1905",1
"Columbus, Christopher, 1451-1506",1
"Casas, BartolomÈ de las, 1474-1566",1
"Vespucci, Amerigo",1
"Wied, Maximilian, Prinz von, 1782-1867",1
"Thwaites, Reuben Gold, 1853-1913",1
"Bailey, Washington",1
"Reese, H. B.",1
"Reese, John B.",1
"Champlain, Samuel de, 1574-1635",1
"Hyde, John",1
"Schwatka, Lieut. Frederick",1
"Young, Samual Hall, 1847-1927",1
"Stuck, Hudson, 1863-1920",1
"Mudge, Zachariah Atwell",1
"Stables, Gordon, 1840-1910",1
"Howe, Julia Ward, 1819-1910",1
"Steel, William Gladstone, 1854-1934",1
"Bass, William Wallace, 1848-1933",1
"Bird, Isabella L. (Isabella Lucy), 1831-1904",1
"May, Karl, 1842-1912",1
"Stevenson, Robert Louis, 1850-1894",1
"Field, Henry M. (Henry Martyn), 1822-1907",1
"Whymper, Frederick",1
"Stephens, John Lloyd, 1805-1852",1
"Stephens, John Lloyd, 1805-1852",1
"Rae, John, 1813-1893",1
"Barbosa, Duarte, -1521",1
"Greely, Adolphus W., 1844-1935",1
"Bingley, William, 1774-1823",1
"Shields, G. O. (George O.), 1846-1925",1
"Allen, Thomas Gaskell, 1868-",1
"Sachtleben, William Lewis, -1953",1
"Howard-Bury, Charles Kenneth, 1881-1963",1
"Wollaston, A. F. R.",1
"Leigh-Mallory, George H., 1886-1924",1
"Smith, W. P. Haskett",1
"Smith, W. P. Haskett",1
"Hart, H. C.",1
"Wardle, J.",1
"Pennell, Elizabeth Robins, 1855-1936",1
"Gleig, G. R. (George Robert), 1796-1888",1
"Graham, Stephen, 1884-1975",1
"Bates, Katharine Lee, 1859-1929",1
"Westerman, Percy F. (Percy Francis), 1876-1959",1
"Lucas, E. V. (Edward Verrall), 1868-1938",1
"Butterworth, Hezekiah, 1839-1905",1
"Lawrence, D. H. (David Herbert), 1885-1930",1
"Pfeiffer, Ida, 1797-1858",1
"Cook, James, 1728-1779",1
"Twain, Mark, 1835-1910",1
"Greenwood, Grace, 1823-1904",1
"Fox, Charles James, 1749-1806",1
"McCarthy, Justin, 1830-1912",1
"Victoria, Queen of Great Britain, 1819-1901",1
"Keeling, Annie E.",1
"Adams, George Burton, 1851-1925",1
"Tytler, Sarah, 1827-1914",1
"Green, John Richard, 1837-1883",1
"Holinshed, Raphael, -1580?",1
"Holinshed, Raphael, -1580?",1
"Holinshed, Raphael, -1580?",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Holinshed, Raphael, -1580?",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Belloc, Hilaire, 1870-1953",1
"Home, Gordon, 1878-1969",1
"Geikie, John Cunningham, 1824-1906",1
"Mitton, G. E. (Geraldine Edith)",1
"Tomlinson, H. M. (Henry Major), 1873-1958",1
"Boswell, James, 1740-1795",1
"Sharpe, Reginald R. (Reginald Robinson), 1848-1925",1
"Tolstoy, Leo, graf, 1828-1910",1
"Ruskin, John, 1819-1900",1
"Eley, C. King",1
"Perkins, Thomas, Rev., 1842-1907",1
"Addleshaw, Percy, 1866-1916",1
"Laski, Harold Joseph, 1893-1950",1
"Fisher, Joseph, F.R.H.S.",1
"Babbage, Charles, 1791-1871",1
"Tyler, James Endell, 1789-1851",1
"Strachey, Lytton, 1880-1932",1
"Hume, David, 1711-1776",1
"Hume, David, 1711-1776",1
"Holinshed, Raphael, -1580?",1
"Holinshed, Raphael, -1580?",1
"Holinshed, Raphael, -1580?",1
"Holinshed, Raphael, -1580?",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859",1
"Yonge, Charles Duke, 1812-1891",1
"Pollard, A. F. (Albert Frederick), 1869-1948",1
"Cheyney, Edward Potts, 1861-1947",1
"Showell, Walter, 1836?-1901",1
"Harman, Thomas T.",1
"Anderton, Thomas, 1836-1903",1
"Mitton, G. E. (Geraldine Edith)",1
"Besant, Walter, 1836-1901",1
"Sharpe, Reginald R. (Reginald Robinson), 1848-1925",1
"Johnson, Samuel, 1709-1784",1
"Bettencourt, JosÈ de S·",1
"Adams, Joseph Quincy, 1881-1946",1
"Bygate, Joseph E.",1
"Quennell, C. H. B. (Charles Henry Bourne), 1872-1935",1
"Perkins, Thomas, Rev., 1842-1907",1
"Home, Gordon, 1878-1969",1
"Nicholls, H. G. (Henry George), 1825-1867",1
United States,1
"Maupassant, Guy de, 1850-1893",1
"Earle, Alice Morse, 1851-1911",1
"Loubat, J. F. (Joseph Florimond), 1831-1927",1
"Ryerson, Egerton, 1803-1882",1
Daughters of the American Revolution. Nebraska,1
"Lippitt, Francis J. (Francis James), 1812-1902",1
"Shirley, Dame, 1819-1906",1
"Power, Tyrone, 1797-1841",1
"Becker, Carl L. (Carl Lotus), 1873-1945",1
"Ogg, Frederic Austin, 1878-1951",1
"Fish, Carl Russell, 1876-1932",1
"Buck, Solon J. (Solon Justus), 1884-1962",1
United States,1
United States,1
"Beck, James M. (James Montgomery), 1861-1936",1
"Madison, James, 1751-1836",1
"Jay, John, 1745-1829",1
"Hamilton, Alexander, 1757-1804",1
"Young, Andrew W. (Andrew White), 1802-1877",1
"Pierson, Charles W. (Charles Wheeler), 1864-1934",1
"Root, Elihu, 1845-1937",1
"Andrews, Elisha Benjamin, 1844-1917",1
"Andrews, Elisha Benjamin, 1844-1917",1
"Hawthorne, Julian, 1846-1934",1
"Drake, Samuel Adams, 1833-1905",1
"Howells, William Dean, 1837-1920",1
"Heywood, Robert, 1786-1868",1
"Stoddard, Charles Warren, 1843-1909",1
"Wasserzieher, Ernst, 1860-1927",1
"Davis, Thomas Osborne, 1814-1845",1
"Paine, Ralph Delahaye, 1871-1925",1
"Pepys, Samuel, 1633-1703",1
"Thompson, Holland, 1873-1940",1
"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",1
"Shepherd, William R. (William Robert), 1871-1934",1
"Bishop, Austin",1
"Castlemon, Harry, 1842-1915",1
"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",1
"Chambers, Robert W. (Robert William), 1865-1933",1
"Churchill, Winston, 1871-1947",1
"Churchill, Winston, 1871-1947",1
"De Forest, John William, 1826-1906",1
"Madison, Lucy Foster, 1865-1932",1
"McElroy, John, 1846-1929",1
"Dunn, Byron A. (Byron Archibald), 1842-1926",1
"Dixon, Thomas, 1864-1946",1
"Optic, Oliver, 1822-1897",1
"Mitchell, S. Weir (Silas Weir), 1829-1914",1
"Allen, Walter, 1840-1907",1
"Addeman, Joshua M. (Joshua Melancthon), 1840-1930",1
"Blakeslee, B. F. (Bernard F.)",1
"Beatty, John, 1828-1914",1
"Cox, Jacob D. (Jacob Dolson), 1828-1900",1
"Carnahan, James R. (James Richards), 1840-1905",1
"Clement, Edward Henry, 1843-1920",1
"Cooper, A. (Alonzo), 1830-1919",1
"Duke, Basil Wilson, 1838-1916",1
"Duffy, Edward, 1830?-",1
"Henderson, G. F. R. (George Francis Robert), 1854-1903",1
"Grant, Ulysses S. (Ulysses Simpson), 1822-1885",1
"De Gurowski, Adam G., count, 1805-1866",1
"Kelly, Walden",1
"Jones, J. B. (John Beauchamp), 1810-1866",1
"Kidd, James Harvey, 1840-1913",1
"Lincoln, Abraham, 1809-1865",1
"Lincoln, Abraham, 1809-1865",1
"Leech, Samuel Vanderlip, 1837-1916",1
"Melville, Herman, 1819-1891",1
"McElroy, John, 1846-1929",1
"Meacham, Henry H.",1
"Pittenger, William, 1840-1904",1
"Rains, George Washington, 1817-1898",1
"Preston, Margaret Junkin, 1820-1897",1
"Richards, Caroline Cowles",1
"Rochelle, James Henry, 1826-1889",1
"Semmes, Raphael, 1809-1877",1
"Scott, Emma Look, Mrs., 1858-",1
"Sherman, William T. (William Tecumseh), 1820-1891",1
"Stephenson, Nathaniel W. (Nathaniel Wright), 1867-1935",1
"Spear, Ellis, 1834-1917",1
Various,1
"Stone, James Madison",1
"Ulmer, George T.",1
"Stillwell, Leander, 1843-1934",1
"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",1
"Altsheler, Joseph A. (Joseph Alexander), 1862-1919",1
"Cable, George Washington, 1844-1925",1
"Churchill, Winston, 1871-1947",1
"Churchill, Winston, 1871-1947",1
"Harris, Joel Chandler, 1848-1908",1
"Henty, G. A. (George Alfred), 1832-1902",1
"Johnston, Mary, 1870-1936",1
"Optic, Oliver, 1822-1897",1
"Optic, Oliver, 1822-1897",1
"Peple, Edward, 1869-1924",1
"Parrish, Randall, 1858-1923",1
"Barry, Joseph",1
"Batten, John M. (John Mullin), 1837-1916",1
"Blackwell, Sarah Ellen, 1828-",1
"Cutter, O. P. (Orlando Phelps)",1
"Doubleday, Abner, 1819-1893",1
"Gildersleeve, Basil L. (Basil Lanneau), 1831-1924",1
"Nicolay, John G. (John George), 1832-1901",1
"Hay, John, 1838-1905",1
"Hill, Frederick Trevor, 1866-1930",1
"Kniffin, G. C.",1
"Huse, Caleb, 1831-1905",1
"Lincoln, Abraham, 1809-1865",1
"Lincoln, Abraham, 1809-1865",1
"Lincoln, Abraham, 1809-1865",1
"Ludlow, William, 1843-1901",1
"Maxwell, James Robert, 1844-",1
"Little, George, 1838-1924",1
"Lincoln, Abraham, 1809-1865",1
"McElroy, John, 1846-1929",1
"McElroy, John, 1846-1929",1
"Reichardt, Theodore",1
"Pittenger, William, 1840-1904",1
"Shellenberger, John K., 1843?-",1
"Schofield, John McAllister, 1831-1906",1
"Sherman, William T. (William Tecumseh), 1820-1891",1
"Whitman, Walt, 1819-1892",1
"Smith, Henry Bascom, -1916",1
"Sprague, Homer B. (Homer Baxter), 1829-1918",1
"Wood, William Charles Henry, 1864-1947",1
"Bower, B. M., 1874-1940",1
"Wormser, G. Ranger",1
"Bower, B. M., 1874-1940",1
"Chambers, Robert W. (Robert William), 1865-1933",1
"Grey, Zane, 1872-1939",1
"Brand, Max, 1892-1944",1
"Grey, Zane, 1872-1939",1
"Mulford, Clarence Edward, 1883-1956",1
"Adams, Andy, 1859-1935",1
"Bower, B. M., 1874-1940",1
"Bower, B. M., 1874-1940",1
