author_name,last_name,first_name,title,birthdate,deathdate,count,fraction_total,dataset
Various,not_applicable,Various,not_applicable,no_birthdate,no_deathdate,3469,0.057384371,project_gutenberg
Anonymous,not_applicable,Anonymous,not_applicable,no_birthdate,no_deathdate,755,0.012489248,project_gutenberg
"Shakespeare, William",Shakespeare,William,not_applicable,1564,1616,327,0.00540925,project_gutenberg
"Twain, Mark",Twain,Mark,not_applicable,1835,1910,225,0.003721961,project_gutenberg
"Lytton, Edward Bulwer Lytton, Baron",Lytton,Edward Bulwer,not_applicable,1803,1873,221,0.003655793,project_gutenberg
"Dickens, Charles",Dickens,Charles,not_applicable,1812,1870,183,0.003027195,project_gutenberg
"Ebers, Georg",Ebers,Georg,not_applicable,1837,1898,172,0.002845233,project_gutenberg
"Verne, Jules",Verne,Jules,not_applicable,1828,1905,165,0.002729438,project_gutenberg
"Balzac, Honoré de",Balzac,Honoré de,not_applicable,1799,1850,149,0.002464765,project_gutenberg
"Dumas, Alexandre",Dumas,Alexandre,not_applicable,1802,1870,142,0.002348971,project_gutenberg
Unknown,not_applicable,Unknown,not_applicable,no_birthdate,no_deathdate,141,0.002332429,project_gutenberg
"Parker, Gilbert",Parker,Gilbert,not_applicable,1862,1932,134,0.002216635,project_gutenberg
"Doyle, Arthur Conan",Doyle,Arthur Conan,not_applicable,1859,1930,133,0.002200093,project_gutenberg
"Kingston, William Henry Giles",Kingston,William Henry Giles,not_applicable,1814,1880,133,0.002200093,project_gutenberg
"Fenn, George Manville",Fenn,George Manville,not_applicable,1831,1909,128,0.002117382,project_gutenberg
"Jacobs, W. W. (William Wymark)",Jacobs,William Wymark,not_applicable,1863,1943,112,0.00185271,project_gutenberg
"Meredith, George",Meredith,George,not_applicable,1828,1909,111,0.001836168,project_gutenberg
"Henty, G. A. (George Alfred)",Henty,George Alfred,not_applicable,1832,1902,109,0.001803083,project_gutenberg
"Howells, William Dean",Howells,William Dean,not_applicable,1837,1920,109,0.001803083,project_gutenberg
"Alger, Horatio, Jr.",Alger Jr.,Horatio,not_applicable,1832,1899,108,0.001786541,project_gutenberg
"Jókai, Mór",Jókai,Mór,not_applicable,1825,1904,107,0.001769999,project_gutenberg
"Stevenson, Robert Louis",Stevenson,Robert Louis,not_applicable,1850,1894,107,0.001769999,project_gutenberg
"Motley, John Lothrop",Motley,John Lothrop,not_applicable,1814,1877,103,0.001703831,project_gutenberg
"London, Jack",London,Jack,not_applicable,1876,1916,102,0.001687289,project_gutenberg
"Hawthorne, Nathaniel",Hawthorne,Nathaniel,not_applicable,1804,1864,101,0.001670747,project_gutenberg
"Ballantyne, R. M. (Robert Michael)",Ballantyne,Robert Michael,not_applicable,1825,1894,100,0.001654205,project_gutenberg
"Wells, H. G. (Herbert George)",Wells,Herbert Gorge,not_applicable,1866,1946,99,0.001637663,project_gutenberg
"Zola, Émile",Zola,Émile,not_applicable,1840,1902,97,0.001604579,project_gutenberg
"Baum, L. Frank (Lyman Frank)",Baum,Lyman Frank,not_applicable,1856,1919,97,0.001604579,project_gutenberg
